# 圆锥曲线问题推理过程数据集
# 共 5357 个有效样本 （这里提供了一部分样本[5008]~[7756]）
# 格式：[样本ID] 推理过程

[5008] 解析过程略

[5824] 由条件得F(1,0),设A(x_{1},y_{1}),B(x_{2},y_{2}),直线AB方程为:x=my+1,m\inR.联立\begin{cases}x=my+1\\y2=4x\end{cases},则y^{2}-4my-4=0,且y_{1}+y_{2}=4m,y_{1}y_{2}=-4由条件可知y_{1}+y_{2}=4m=4,解得m=1,t=\frac{x_{1}+x_{2}}{2}=\frac{m(y_{1}+y_{2})+2}{2}=3所以|AB|=2(3+1)=8,

[5825] 设圆心为C(0,-2),双曲线的一条渐近线方程为bx+ay=0,则圆心C(0,-2)到渐近线bx+ay=0的距离d=\frac{|0-2a|}{\sqrt{a^{2}+b^{2}}}=\frac{2a}{c}>1,解之可得1<e<2,故双曲线离心率的取值范围是(1,2),答案应填:(1,2).

[5826] 由x^{2}=4y,即y=\frac{1}{4}x^{2},所以y=\frac{1}{2}x,设A(x_{1},y_{1})、B(x_{2},y_{2}),则过A的切线为y-y_{1}=\frac{1}{2}x_{1}(x-x_{1}),即x_{1}x-2y-2y_{1}=0,将C(-1,-1)代入得-x_{1}+2-2y_{1}=0,则过B的切线为y-y_{2}=\frac{1}{2}x_{2}(x-x_{2}),即x_{2}x-2y-2y_{2}=0,将C(-1,-1)代入得-x_{2}+2-2y_{2}=0,所以A、B均满足-x-2y+2=0,所以AB:x+2y=2,即\frac{x}{2}+y=1,所以a=2、b=1,所以a+b=3;

[5827] 设P(y^{2}/2,y),由题意可设P(y^{2}/2,y),由题意可得m^{2}=\frac{PA^{2}}{PB^{2}}=\frac{(\frac{y}{2}+1)^{2}+y^{2}}=\frac{y+44+8y}{y+4}=1+\frac{8y^{2}}{y^{4+4}}\leqslant1+\frac{8y^{2}}{2\sqrt{4v4}}=3\thereforem\leqslant\sqrt{3},当且仅当y^{2}=2时,等号成立。

[5828] \because方程\frac{x^{2}}{k+1}+\frac{y^{2}}{k-2}=1表示双曲线,\therefore(k+1)(k-2)<0,\therefore-1<k<2.

[5829] 由\overrightarrow{EP}=\frac{1}{4}\overrightarrow{EA}+\frac{3}{4}\overrightarrow{EB}可得\frac{1}{4}\overrightarrow{EP}-\frac{1}{4}\overrightarrow{EA}=\frac{3}{4}\overrightarrow{EB}-\frac{3}{4}\overrightarrow{EP}即\frac{1}{4}\overrightarrow{AP}=\frac{3}{4}\overrightarrow{PB}.\overrightarrow{AP}=3\overrightarrow{PB}设A(x_{1},y_{1}),B(x_{2},y_{2}),则\overrightarrow{AP}=(-x_{1},1-y_{1}),\overrightarrow{PB}=(x_{2},y_{2}-1)1=3x_{2}x_{1}=-3x_{2}1-y_{1}=3(y_{2}-1)1.即\begin{cases}3\\y\end{cases}\therefore=4-3y又点A,B均在椭圆上则\begin{cases}\frac{x^{2}}{4}+y_{1}=m\\\frac{x^{2}}{4}+y_{2}=m\end{cases}即\begin{cases}9x_{2}^{2}\\\frac{4}{}\end{cases}-3y_{2}^{2}=m,解得y_{2}=\frac{m+2}{3},而x_{2}^{2}=4(m-y_{2}^{2})=\frac{y_{2}^{2}}{3})^{2}]=-\frac{4}{9}(m-\frac{5}{2})^{2}+1,又m>1,\thereforex_{2}^{2}\leqslant1,x_{2}\in[-1,1]

[5830] 当双曲线C的焦点在x轴上时,设方程为\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0)所以根据题意得\frac{b}{a}=3,不妨设a=1,则b=3所以方程为x^{2}-\frac{y^{2}}{9}=1

[5835] 抛物线的顶点在原点,对称轴是坐标轴,且焦点在直线x-y+2=0上所以抛物线的焦点为(-2,0)或(0,2)所以\frac{p}{2}=-2或\frac{p}{2}=2则抛物线的方程为:y2=-8x或x^{2}=8y】本题考查通过焦点求抛物线方程,属于简单题

[5836] 因为方程(k-1)x^{2}+(2k-5)y^{2}=1表示双曲线故(k-1)(2k-5)<0,解得k\in(1,\frac{5}{3}).

[5838] 因为双曲线的渐近线方程为y=\pm3x,且一个焦点为(\sqrt{10},0).所以可设双曲线方程为\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0),因为c=\sqrt{10},所以a^{2}+b^{2}=10,又因为\frac{b}{a}=3,解得a=1,b=3,所以双曲线方程为x^{2}-\frac{y^{2}}{9}=1

[5839] 由题可知:a=2,b=\sqrt{3},c=1,|PF_{1}|+|PF_{2}|=4,所以|PF_{1}|=4-|PF_{2}所以\frac{|PF_{1}|^{2}}{|PF_{2}|}=\frac{(4-|PF_{2}|)^{2}}{|PF_{2}|}=|PF_{2}|+\frac{16}{|PF_{2}|}-8由a-c\leqslant|PF_{2}|\leqslanta+c,即1\leqslant|PF_{2}|\leqslant3,令t=|PF_{2}|,t\in[1,3]则y=\frac{|PF_{1}|^{2}}{|PF_{2}|}=t+\frac{16}{t}-8,y'=1-\frac{16}{t^{2}}=\frac{t^{2}-16}{t^{2}}若t\in[1,3],y'<0,所以函数y=t+\frac{16}{t}-8在[1,3]递减所以y_{\max}=1+\frac{16}{1}-8=9

[5841] 先把椭圆方程化为标准方程,由此求得两焦点坐标,利用椭圆定义把|PF_{1}|化为2a-|PF_{2}|,再根据数形结合即可求出结果.由已知可得椭圆的标准方程为\frac{x^{2}}{9}+\frac{y^{2}}{5}=1,则c^{2}=a^{2}-b^{2}=9-5=4,\thereforec=2.\therefore焦点坐标分别为F_{1}(-2,0),(2,0)又由椭圆定义可得|PF_{1}+|PF_{2}|=2a=6,\therefore|PF_{1}|=6-|PF_{2}|\therefore|PA|+|PF_{1}|=6+|PA|-|PF_{2}|.利用几何性质可得当点P在椭圆左端点时|PA|+|PF|有最小值且此时最小值为6-|AF_{2}|=6-1=5,

[5843] 由题意可得:焦点坐标为(\pm2,0),所以b^{2}+3=4\Rightarrowb^{2}=1,所以双曲线的渐近线方程为y=\pm\frac{\sqrt{3}}{3}x

[5844] 由题意可得:AB//CF,则\triangleABE\sim\triangleFCE,结合|FE|=2|AE|可知:\frac{|AB|}{|CF|}=\frac{|AE|}{|FE|}=\frac{1}{2}由题意可知:|AB|=3+\frac{p}{2},|CF|=\frac{7}{2}p-\frac{p}{2}=3p据此有:\frac{3+\frac{p}{2}}{3p}=\frac{1}{2},求解关于实数p的方程可得:p=3

[5845] \because以F_{1}F_{2}为直径的圆的圆心是(0,0),半径为:c;故圆的标准方程为:x^{2}+y^{2}=c^{2}又\because双曲线的其中一条渐近线方程为:y=\frac{b}{a}x不妨设P在第一象限联立\begin{cases}y=\frac{b}{a}x\\x^{2}+y^{2}=c^{2}\end{cases}可得:\begin{cases}x=a\\y=b\end{cases}\becauseF_{1}(-c,0),F_{2}(c,0)根据两点间距离公式可得:故:\sqrt{(a+c)^{2}+b^{2}}=2\sqrt{(a-c)^{2}+b^{2}}+c^{2+b^{2}}c_{n}=2\sqrt{2c^{2}-2ac}\cdot3c=5a,即\frac{c}{a}=\frac{5}{2}\thereforee=\frac{5}{3}双曲线的离心率为:\frac{5}{3}

[5847] 由题意可得2a=6,即a=3,渐近线方程为y=\pm\frac{1}{3}x,即有\frac{b}{a}=\frac{1}{3}即b=1,可得双曲线方程为\frac{x^{2}}{9}-y^{2}=1焦点为F_{1}(-\sqrt{10},0),F_{2},(\sqrt{10},0),由双曲线的定义可得|MF_{2}|=2a+|MF_{1}|=6+|MF_{1}|,由圆E:x^{2}+(y+\sqrt{6})^{2}=1可得E(0,-\sqrt{6}),半径r=1,|MN|+|MF_{2}|=6+|MN|+|MF_{1}|.连接EF_{1},交双曲线于M,圆于N.可得|MN|+|MF_{1}|取得最小值,且为|EF_{1}|=\sqrt{6+10}=4.则则|MN|+|MF_{2}|的最小值为6+4-1=9.

[5848] 令\frac{x^{2}}{9}-\frac{y^{2}}{4}=0,解得2x-3y=0和2x+3y=0

[5850] 设抛物线上的点N(x_{0},y_{0}),则MN=\sqrt{(x_{0}-10)^{2}+y_{0}^{2}}=\sqrt{(x_{0}-10)^{2}+10x_{0}}=\sqrt{x_{0}^{2}-10x_{0}+100}=\sqrt{(x_{0}-5)^{2}+75}故当x_{0}=5时MN取最小值\sqrt{75}=5\sqrt{3}

[5853] 根据双曲线的定义求出|F_{1}F_{2}|,然后呆得参数b的值.由题意c=\sqrt{4+b},|F_{1}F_{2}|=2c=2\sqrt{4+b},因为AF_{1}\botAF_{2},且\angleAF_{1}F_{2}=30^{\circ}所以|AF_{1}|=|F_{1}F_{2}|\cos\anglePF_{1}F_{2}=2c\cos30^{\circ}=\sqrt{3}c,同理|AF_{2}|=所以|AF_{1}|-|BF_{1}|=\sqrt{3}c-c=2\times\sqrt{4}=4,c=\frac{4}{\sqrt{3}}\frac{1}{4}=2(\sqrt{3}+1)所以b=[2(\sqrt{3}+1)]^{2}-4=12+8\sqrt{3}

[5854] 利用双曲线的第二定义知P到右准线的距离为\frac{8}{e}=8\times\frac{8}{10}=\frac{32}{5}

[5855] 设直线l的方程为y=kx-1(k>0),A(x_{1},y_{1}),B(x_{2},y_{2})联立\begin{cases}y=kx-\\x^{2}=8y\end{cases}1,得x^{2}-8kx+8=0,所以x_{1}+x_{2}=8k,所以x_{Q}=\frac{x_{1}+x_{2}}{2}=4k,所以y_{Q}=kx_{Q}-1=4k^{2}-1因为AB的中点Q到x轴的距离为3,所以4k^{2}-1=3,k>0,所以k=1,则直线l的方程为y=x-1,设点F关于直线l的对称点为F'(a,b),所以\frac{2+b}{2}=\frac{a}{2}-1,且\frac{b-2}{a}=-1,解得a=3,b=-1,所以点F关于直线l的对称点为F'(3,-1),所以|MF|-|ME||=||MF'|-|ME||\leqslant|EF'|=1,当M在射线F'E与直线l的交点时,取等号,

[5856] 不妨设\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1,F(c,0),则点P(-c,\pm2b),从而有\frac{c^{2}}{a^{2}}-\frac{4b^{2}}{b^{2}}=1\Rightarrow\frac{c^{2}}{a^{2}}=5\Rightarrowe=\sqrt{5}.

[5857] \frac{x^{2}}{3}-y^{2}=1的左焦点坐标为(-2,0),则\frac{p}{2}=-2,解得:p=-4,所以抛物线的方程为y2=-8x

[5859] 焦点F的坐标为(\frac{p}{2},0),则线段AF的中点B的坐标为(\frac{p}{4},1)又点B在抛物线上,将点B的坐标代入抛物线方程可得1=\frac{p^{2}}{2},解得p=\sqrt{2}或-\sqrt{2}(舍去),则点F的坐标为(\frac{\sqrt{2}}{2},0),点B的坐标为(\frac{\sqrt{2}}{4},1),由两点间的距离公式可得|BF|=(\frac{\sqrt{2}}{2}-\frac{\sqrt{2}}{4})^{2}+(0-1)^{2}=\frac{3\sqrt{2}}{4}

[5860] 根据抛物线的焦半径公式分别求出点A,B的坐标,再根据中点公式求出弦AB的中点横坐标,即求出答案.设点A(x_{1},y_{1}),B(x_{2},y_{2}),焦点F(1,0).由题可得,x_{1}+1=2,x_{2}+1=6,解得x_{1}=1,x_{2}=5.所以弦AB的中点横坐标为\frac{x_{1}+x_{2}}{2}=\frac{1+5}{2}=3,故弦AB的中点到y轴距离为3.

[5861] 由题知2c=2b,即b=c,所以a^{2}=c^{2}+b^{2}=2c^{2},即a=\sqrt{2}c,所以e=\frac{c}{a}=\frac{\sqrt{2}}{2}

[5863] 由题意结合双曲线的性质可得4+b^{2}=4^{2},解得b^{2}=12,则双曲线的渐近线方程为y=\pm\sqrt{\frac{b^{2}}{4}}x=\pm\sqrt{3}x

[5864] 将双曲线方程化为标准方程,再利用方程x^{2}+(k-1)y^{2}=k+1表示焦点在x轴上的双曲线,构建不等式组,从而可求实数k的取值范围双曲线方程可化为:\frac{x^{2}}{k+1}-\frac{y^{2}}{\frac{k+1}{1-k}}=1\because方程x^{2}+(k\cdot1)y^{2}=k+1表示焦点在x轴上的双曲线\because\begin{cases}k+1>0\\\frac{k+1}{1-k}>0\end{cases}1<k<1故实数k的取值范围是

[5865] 计算焦点为(0,\frac{p}{2}),渐近线方程为3x-4y=0,利用点到直线的距离公式得到答案抛物线C_{1}:x^{2}=2py(p>0)的焦点为(0,\frac{p}{2})双曲线C_{2}:\frac{y^{2}}{9}-\frac{x^{2}}{16}=1的一条渐近线为y=\frac{3}{4}x,即3x-4y=0故d=\frac{|-2p|}{\sqrt{3^{2}+4^{2}}}=\frac{\sqrt{5}}{5},即p=\frac{\sqrt{5}}{2}

[5866] 设与\frac{x}{3}+\frac{y}{4}=1平行的直线l:\frac{x}{3}+\frac{y}{4}=m,当t与椭圆C相切时有:\begin{cases}\frac{x}{3}+\frac{y}{4}=m\\x^{2}+2y^{2}=2\end{cases},所以41x^{2}-64\times3mx+32\times9m^{2}-18=0所以\triangle=(64\times3)^{2}m^{2}-4\times41\times9(32m^{2}-2)=0,所以m=\pm\frac{\sqrt{41}}{12}由题意取m=\frac{\sqrt{41}}{12}时,t:4x+3y-\sqrt{41}=0到直线\frac{x}{3}+\frac{y}{4}=1的距离较小此时t:4x+3y-\sqrt{41}=0与\frac{x}{3}+\frac{y}{4}=1(即l:4x+3y-12=0)的距离为d=\frac{|12-\sqrt{41}|}{\sqrt{3^{2}+4^{2}}}=\frac{12-\sqrt{41}}{5}所以点P到直线\frac{x}{3}+\frac{y}{4}=1距离的最小值为\frac{12-\sqrt{41}}{5},

[5867] 抛物线的顶点为原点,焦点为F(1,0),可得抛物线为:y^{2}=4x,p=2,过焦点的直线与抛物线交于A,B两点,过AB的中点M作准线的垂线与抛物线交于点P,|AB|=6设A(x_{1},y_{1}),B(x_{2},y_{2}),|AB|=6=x_{1}+x_{2}+p可得x_{1}+x_{2}=4.过焦点的直线设为y=k(x-1),则:\begin{cases}y^{2}=4x\\y=k(x-1)\end{cases}可得k^{2}x^{2}-(2k^{2}+4)x+k^{2}=0,x_{1}+x_{2}=\frac{2k^{2}+4}{k^{2}}=4,解得k=\pm\sqrt{2}y_{1}+y_{2}=\pm\sqrt{2}(x_{1}+x_{2}-2)=\pm2\sqrt{2},中点的纵坐标为:\pm\sqrt{2},代入抛物线方程可得:x=\frac{1}{2}.则点P的坐标为:(\frac{1}{3},\pm\sqrt{2})

[5868] 双曲线x^{2}-\frac{y^{2}}{4}=1'F(\sqrt{5},0),渐近线方程为y=\pm2x.设过点F且平行于双曲线的一条渐近线方程为y=2(x-\sqrt{5})代入双曲线的方程,可得x=\frac{3\sqrt{5}}{5}\cdots即P(\frac{3\sqrt{5}}{5},-\frac{4\sqrt{5}}{5}由直线OM:y=-\frac{1}{2}x和直线y=2(x-\sqrt{5})可得M(\frac{4\sqrt{5}}{5},-\frac{2\sqrt{5}}{5}),即有\frac{|PM|}{|PF|}==\frac{|\sqrt{5}-\frac{3\sqrt{5}}{5}|}{|\sqrt{5}-\frac{3\sqrt{5}}{5}|}=\frac{1}{2}

[5870] 设A(x_{1},y_{1}),B(x_{2},y_{2}),设直线AB的斜率为k.有\frac{x^{2}}{16}+\frac{y^{2}}{4}=1'\frac{x_{2}^{2}}{16}+\frac{y_{2}^{2}}{4}=1两式相减可得\frac{1}{16}(x_{1}^{2}-x_{2}^{2})+\frac{1}{4}(y_{1}^{2}-y_{2})=0,所以\frac{1}{16}+\frac{1}{4}\cdot\frac{y_{1}^{2}-y_{2}^{2}}{x^{2}-x^{2}}=0所以\frac{1}{16}+\frac{1}{4}\cdotk\cdot\frac{y_{M}}{x_{M}}=0,由x_{M}=2,y_{M}=所以k=-\frac{1}{2},又直线过(2,1)可得直线方程为x+2y-4=0,

[5871] 联立直线与抛物线方程,再由根与系数关系结合抛物线定义和|FA|=2|FB|,列出方程组,即可求出结果.[详解]由题意,设A(x_{1},y_{1})、B(x_{2},y_{2}),由抛物线定义可得|FA|=x_{1}+2,|FB|=x_{2}+2因为|FA|=2|FB|,所以x_{1}+2=2(x_{2}+2),即x_{1}=2x_{2}+2\textcircled{1};联立\begin{cases}y=k(x+2)\\y2=8x\end{cases},整理得k^{2}x^{2}+(4k^{2}-8)x+4k^{2}=0,所以_{A}=(4k^{2}-8)^{2}-16k^{4}>0,故-1<k<1,又\begin{cases}x_{1}+x_{2}=\frac{8-4k^{2}}{k^{2}}\textcircled{2}\\x_{1}x_{2}=4\textcircled{3}\end{cases},由\textcircled{1}\textcircled{2}\textcircled{3}解得k=\pm\frac{2\sqrt{2}}{3}满足题意.

[5872] 由题意,M(-1,0),N(0,1),则|MN|=\sqrt{2},P是椭圆C:\frac{x^{2}}{9}+\frac{y^{2}}{16}=1上任意一点,所以可设点P的坐标为(3\cos\theta,4\sin\theta),则点P到直线l的距离d=\frac{|3\cos\theta-4\sin\theta+1|}{\sqrt{2}}\leqslant\frac{5+1}{\sqrt{2}}=3\sqrt{2}得S_{\trianglePMN}=\frac{1}{2}\cdot|MN|\cdotd\leqslant\frac{1}{2}\cdot\sqrt{2}\cdot3\sqrt{2}=3故答客为:3

[5875] 根据双曲线的定义直接求解即可.由双曲线的定义可得|PF_{1}|-|PF_{2}||=10,即|12-|PF_{2}|=10所以|PF_{2}|=2或|PF_{2}|=22,均满足|PF|\geqslantc-a=\sqrt{34}-5.

[5879] 分析:先分类讨论化简曲线\frac{y^{2}}{9}-\frac{x|x|}{4}=1的方程,再数形结合分析得到公共点的个数详当x\geqslant0时,曲线\frac{y^{2}}{9}-\frac{x|x|}{4}=1化为\frac{y^{2}}{9}-\frac{x^{2}}{4}=1,当x<0时,曲线\frac{y^{2}}{9}-\frac{x|x|}{4}=1化为\frac{y^{2}}{9}+\frac{x^{2}}{4}=1,所以曲线\frac{y^{2}}{9}-\frac{x|x|}{4}=1是半个双曲线和半个椭圆组成的图形因为\frac{y^{2}}{9}-\frac{x^{2}}{4}=1的渐近线为y=\pm\frac{3}{2}x,直线y=-2x-3的斜率-2<-\frac{3}{2}数形结合分析得直线y=-2x-3与曲线\frac{y^{2}}{x|x|}=1的公共点的个数为2个

[5881] 双曲线\frac{y^{2}}{a^{2}}-\frac{x^{2}}{9}=1(a>0)的一个焦点是(0,\sqrt{13}),可得a^{2}+9=13,解得a=2,所以双曲线\frac{y^{2}}{4}-\frac{x^{2}}{9}=1的渐近线方程是y=\pm\frac{2}{3}x

[5882] 由题意知,该点轨迹是以F(0,2)为焦点,y=-2为准线的抛物线,其中p=4,所以方程为x^{2}=8y.睛】本题主要考查了抛物线的定义,抛物线的标准方程,属于中档题

[5883] 椭圆的长半轴长为5,双曲线的半实轴长为a根据椭圆及双曲线的定义:|PF_{1}|+|PF_{2}|=10,|PF_{1}|-|PF_{2}|=2a所以|PF_{1}|=5+a,|PF_{2}|=5-a,|F_{1}F_{2}|=8,\angleF_{1}PF_{2}=\frac{\pi}{3},由余弦定理可得,64=(5+a)^{2}+(5-a)^{2}-2(5+a)(5-a)\cos\frac{\pi}{3}整理得a^{2}=13,e=\frac{c}{a}=\frac{4}{\sqrt{13}}=\frac{4\sqrt{13}}{13}

[5884] 由抛物线y^{2}=4x的焦点为F(1,0),\therefore直线AB的方程可设为x=ty+1,代入抛物线方程得y2-4ty-4=0,设A(x_{1},y_{1},B(x_{2},y_{2}),则y_{1}+y_{2}=4t,y_{1}y_{2}=-4,又P为该抛物线准线上的动点,可设P(-1,m),则\overrightarrow{PA}=(x_{1}+1,y_{1}-m)=(ty_{1}+2,y_{1}-m)\overrightarrow{PB}=(x_{2}+1,y_{2}-m)=(ty_{2}+2,y_{2}-m)\therefore\overrightarrow{PA}\cdot\overrightarrow{PB}=(ty_{1}+2)(ty_{2}+2)+(y_{1}-m)(y_{2}-=(t^{2}+1)y,y_{2}+(2t-m)(y_{1}+y_{2})+4+m^{2}=(2t-m)^{2}\geqslant0

[5887] 由\frac{x^{2}}{36}+\frac{y^{2}}{9}=1,得a=6,b=3,由题意可得\triangleAF_{1}B周长为|AB|+|AF_{1}|+|BF_{1}|=|AF_{2}|+|BF_{2}|+|AF_{1}|+|BF_{1}|=4a=24

[5888] 双曲线\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0)的渐近线方程为y=\pm\frac{b}{a}x由题意可知\frac{b}{a}>\frac{1}{2},\thereforee=\frac{c}{a}=\sqrt{\frac{c^{2}}{a^{2}}}=\sqrt{\frac{a2+b^{2}}{a^{2}}}=\sqrt{1+\frac{b^{2}}{a^{2}}}>\frac{\sqrt{5}}{2}

[5890] 因为AF_{2}\botF_{1}F_{2},所以AF_{2}的长度是椭圆C:\frac{x^{2}}{4}+\frac{y^{2}}{3}=1通径的一半,即|AF_{2}|=\frac{3}{2},因为|F_{1}O|=|F_{2}O|,所以OB是三角形AF_{1}F_{2}的中位线,即|OB|=\frac{1}{2}|AF_{2}|=\frac{3}{4}.

[5892] 由题意可知:双曲线\frac{x2}{16}-\frac{y^{2}}{9}=1焦点在x轴上,a=4,b=3,c=5设双曲线的右焦点F_{1}(5,0),左焦点F(-5,0),由OM为\trianglePFF_{1}中位线,则|OM|=\frac{1}{2}|PF_{1}|由PF与圆x^{2}+y^{2}=16相切于点N,则\triangleONF为直角三角形\therefore|NF|^{2}=|OF|^{2}-|ON|^{2}=25-16=9,则|NF|=3,\therefore|MN|=|MF|-|NF|=|MF|-3,由|MF|=\frac{1}{2}|PF|,\therefore|MN|\cdot|MO|=\frac{1}{2}|PF||PF_{1}|=\frac{1}{2}(|PF|\cdot|PF_{1}|)\cdot3=\frac{1}{2}\times2a\cdot3=1,\therefore|MN|\cdot|MO|=1

[5893] 设椭圆的长半周长为a_{1},双曲线的实半轴长为a_{2},它们的半焦距都为c.并设|PF_{1}|=m,|PF_{2}|=n,根据椭圆的定义和双曲线的定义可得m+n=2a_{1},m-n=2a_{2}在APOF_{1}中,由余弦定理得|PF_{1}|^{2}=|OF_{1}|^{2}+|OP|^{2}-2|OF_{1}||OP|\cos\anglePOF_{1}即m^{2}=c^{2}+4c^{2}-2c\times2c\cos\anglePOF_{1}在APOF_{2}中,由余弦定理得|PF_{2}|^{2}=|OF_{2}|^{2}+|OP|^{2}-2|OF_{2}||OP|\cos\anglePOF_{2}即n^{2}=c^{2}+4c^{2}-2c\times2c\cos\anglePOF_{1}又由\anglePOF_{1}=\pi-\anglePOF_{2},两式相加,则m^{2}+n^{2}=10c^{2},又由m^{2}+n^{2}=(m+n)^{2}-2mn=2a_{1}^{2}+2a_{2}^{2},所以2a_{1}^{2}+2a_{2}^{2}=10c^{2}\Rightarrowa_{1}^{2}+a_{2}^{2}=5c^{2}所以\frac{a^{2}}{c^{2}}+\frac{a^{2}}{c^{2}}=5,即\frac{1}{e_{1}^{2}}+\frac{1}{e_{2}^{2}}=5.题主要考查了椭圆与双曲线的定义及其几何性质的求解,其中解答中利用椭圆和双曲线的定义,以及在APOF_{1}和APOF_{2}中,利用余弦定理,两式相加,求得m^{2}+n^{2}=10c^{2}是解答的关键,若重考查了分析问题和解答问题的能力,属于中档试题

[5894] 根据题意\frac{y}{2x}表示椭圆上的点和原点连线的斜率的\frac{1}{2},设y=kx,由y=kx与(x-2)^{2}+\frac{y^{2}}{4}=1有交点得出k的取值范围,进而得出\frac{y}{2x}的最大值.因为4(x-2)^{2}+y^{2}=4,所以(x-2)^{2}+\frac{y^{2}}{4}=1,表示中心为(2,0),长轴在x=2上,短轴在x轴上,顶点坐标为(1,0),(3,0),(2,2),(2,-2)的椭圆,\frac{y}{2x}可以看成是原点与椭圆上的点P(x,y)连线的斜率的\frac{1}{2},设y=kx,因为y=kx与(x-2)^{2}+\frac{y^{2}}{4}=1相交,所以,由\begin{cases}y=kx\\4(x-2)^{2}+y^{2}=4\end{cases}消去y得,4(x-2)^{2}+k^{2}x^{2}=4整理得(4+k^{2})x^{2}-16x+12=0.所以A=16^{2}-4\times(4+k^{2})\times12\geqslant0,解得-\frac{2\sqrt{3}}{3}\leqslantk\leqslant\frac{2\sqrt{3}}{3}.所以k_{\max}=\frac{2\sqrt{3}}{3},所以(\frac{y}{2x})_{\max}=\frac{1}{2}k_{\max}=\frac{\sqrt{3}}{3}.

[5895] 因为点A(-3,1)在抛物线内部,如图所示,点P,作PQ\botl于Q,过A作AB\botl于B|PA|+|PF|=|PA|+|PQ|\geqslant|AB|.故当且仅当P,A,B共线时,|PA|+|PF|的值最小.此时点P坐标为P(x_{0},-1),代入y^{2}=x,得x_{0}=1.故点P的坐标为(1,-1).

[5896] 由椭圆方程知a=3,c=\sqrt{9-5}=2,P在椭圆上.所以|PF_{1}|+|PF_{2}|+|F_{1}F_{2}|=2a+2c=2\times3+2\times2=10.

[5897] 如图:由题意,M到准线的距离为2,\because\overrightarrow{AM}=2\overrightarrow{MB},\thereforeB的横坐标为2,代入抛物线C:y^{2}=4x,可得y=\pm2\sqrt{2},\thereforeB的坐标为(2,\pm2\sqrt{2}),\thereforek=\frac{\pm2\sqrt{2}}{2-1}=\pm2\sqrt{2}

[5898] 略

[5899] 双曲线\frac{y^{2}}{6}-\frac{x^{2}}{3}=1,可得a=\sqrt{6},b=\sqrt{3},则c=3,所以e=\frac{c}{a}=\frac{3}{\sqrt{6}}=\frac{\sqrt{6}}{2}

[5900] 椭圆\frac{x^{2}}{2}+y^{2}=1中c=1,\because中心在原点的双曲线与椭圆\frac{x^{2}}{2}+y^{2}=1有公共的焦点,\therefore双曲线中c=1,\because椭圆\frac{x^{2}}{2}+y^{2}=1的离心率为\frac{c}{a}=\frac{\sqrt{2}}{2},椭圆与双曲线的离心率互为倒数.\therefore双曲线的离心率为\sqrt{2},\therefore双曲线中a=\frac{\sqrt{2}}{2},b^{2}=c^{2}-a^{2}=\frac{1}{2},b=\frac{\sqrt{2}}{2},\therefore双曲线的方程为2x^{2}-2y^{2}=1

[5902] 当抛物线开口向上时,设抛物线方程为x^{2}=2py,(p>0),将点(-4,4)代入得2p=4所以抛物线方程为x^{2}=4y;当抛物线开口向左时,设抛物线方程为y^{2}=2px,(p>0),将点(-4,4)代入得2p=-4,所以抛物线方程为y^{2}=-4x.综上可得所求抛物线方程为y^{2}=-4x或x^{2}=4v.老占.抛物线方程

[5903] 根据椭圆的定义有\begin{cases}|AF_{1}|+|AF_{2}|=10\\|BF_{1}|+|BF_{2}|=10\end{cases}两式相减得|AF_{2}|-|BF_{1}|+|AF_{1}|-|BF_{2}|=0,即|AF_{2}|-|BF_{1}|=|BF_{2}|-|AF_{1}|=4,也即|AF_{2}|=4+|BF_{1}|,|BF_{2}|=4+|AF_{1}|\textcircled{1},两式相加得|AF_{1}|+|AF_{2}|+|BF_{1}|+|BF_{2}|=20,即|AB|+|AF_{2}|+|BF_{2}|=20将\textcircled{1}代入上式得|AB|+|AF_{1}|+|BF_{1}|+8=20,即2|AB|=12,|AB|=6.

[5905] 分析:首先根据题中所给的抛物线的方程,求得抛物线的准线方程和焦点坐标,设出A点的坐标根据两点斜率坐标公式求得y_{A}=2\sqrt{3},从而得到y_{P}=2\sqrt{3},代入抛物线的方程,求得对应的横坐标,之后求得相应的线段的长度,根据面积公式求得三角形的面积详因为y^{2}=4x,所以准线l:x=-1,F(1,0),因为PA\botl,垂足为A,所以设A(-1,y_{A})因为k_{AF}=-\sqrt{3},所以\frac{y_{A}-0}{-1-1}=-\sqrt{3},所以y_{A}=2\sqrt{3},所以y_{P}=2\sqrt{3},把y_{P}=2\sqrt{3}代入y^{2}=4x中,得x_{P}=3,所以|AP|=3-(-1)=4,所以S_{PAF}=\frac{1}{2}\times|AP|\times|y_{P}|=\frac{1}{2}\times4\times2\sqrt{3}=4\sqrt{3},故答案是4\sqrt{3}

