# 圆锥曲线问题推理过程数据集
# 共 5357 个有效样本 （这里提供了一部分样本[2]~[2520]）
# 格式：[样本ID] 推理过程


[287] 设P(x_{0},y_{0})则\frac{x_{0}^{2}}{a^{2}}-\frac{y_{0}^{2}}{b^{2}}=1,\thereforex_{0}^{2}=a^{2}+\frac{a^{2}}{b^{2}}y_{0}^{2}\thereforeF_{1}(-\sqrt{3},0),F_{2}(\sqrt{3},0),c^{2}=3=a^{2}+b^{2}\cdot\overrightarrow{PF_{1}}\cdot\overrightarrow{PF_{2}}=(x_{0}+\sqrt{3})(x_{0}-\sqrt{3})+y_{0}^{2}=x_{0}^{2}+y_{0}^{2}-3=\frac{c^{2}}{b^{2}}y_{0}^{2}+a^{2}-3\geqslanta^{2}-3当y_{0}=0时等号成立,\because\overrightarrow{PF_{1}}\cdot\overrightarrow{PF_{2}}的最小值是-2\thereforea^{2}-3=-2,解得a=1,又c=\sqrt{3}\thereforee=\frac{c}{a}=\sqrt{3},

[289] 设右焦点为F',连接MF',NF',由椭圆对称性知四边形FMF'N为平行四边形,又|MN|=2\sqrt{a^{2}-b^{2}}=2c=FF',故FMF'N为矩形,|FM|\leqslant\sqrt{3}|FN|=\sqrt{3}|FM|,|FM|+|FM|=2a,即2a-|F'M|\leqslant\sqrt{3}|F'M|,\therefore|F'M|\geqslant\frac{2a}{\sqrt{3}}+1,又(2a-|F'M|^{2}+|F'M|^{2}=4c^{2},故0<e\leqslant\sqrt{3}-1

[290] 设椭圆的标准方程为mx^{2}+ny^{2}=1(m,n>0,m\neqn),则\begin{cases}3m+4n=1\\12m+n=1\end{cases},解得\begin{cases}m=\frac{1}{15}\\n=\frac{1}{5}\end{cases}故椭圆方程为\frac{x2}{15}+\frac{y^{2}}{5}=1,填\frac{x^{2}}{15}+\frac{y^{2}}{5}=1可能,本题考查椭圆标准方程的求法,属于基础题

[292] 易知F(0,1)为抛物线x^{2}=4y的焦点,设点A(x_{0},y_{0}),由抛物线的定义可得|AF|=y_{0}+1,所以,圆心M到x轴的距离恒等于半径\frac{|AF|}{2},所以定直线的方程为y=0.

[293] 由题可知,抛物线的准线l的方程为x=-\frac{p}{2},则焦点F(\frac{p}{2},0)到准线的距离为p,已知|OP|=|PF|,所以P在线段OF的中垂线上,如图,{.|y_{p}=\frac{\sqrt{2}}{2}p.可知\tan\angleOFP=\frac{|y_{P}|}{\frac{1}{\frac{1}{p}}=\frac{|y_{Q}|}{P}即\frac{\frac{\sqrt{2}}{2}p}{\frac{1}{4}p}=\frac{|y_{Q}|}{P}\thereforeS_{\triangleOFQ}=\frac{1}{2}\cdot|OF|\cdot|y_{0}|=\frac{1}{2}\cdot\frac{p}{2}\cdot2\sqrt{2}p=8\sqrt{2},解得p=4,所有抛物线C的方程是v2=8x.

[296] 抛物线的焦点坐标为(0,2),所以双曲线的焦点在y轴上且c=2,所以双曲线的焦点为(0,2),(02),又e=\frac{c}{a}=2,所以a=1,即n=1,又b^{2}=c^{2}-a^{2}=3,所以m=-b^{2}=-3,故双曲线的方程为y^{2}-\frac{x^{2}}{3}=1

[298] 抛物线y^{2}=2px(p>0)上一点M(1,m)到其焦点F的距离为5,即1+\frac{p}{2}=5,解得p=8,所以抛物线方程y^{2}=16x,焦点F(4,0).点M(1,m)代入y^{2}=16x得:m=\pm4,不妨取m=4,则M(1,4)直线MF的方程:y-0=-\frac{4}{3}(x-4),即4x+3y-16=0,抛物线的顶点到直线MF的距离为d=\frac{16}{14}=\frac{16}{5}根据抛物线对称性,m=-4时抛物线的顶点到直线MF的距离也为\frac{16}{6}故答客为:\frac{16}{与青】H那老杏根据抛生加线的几何性质求曲线方程,根据公式求点到直线的距离

[300] 由椭圆\frac{x^{2}}{4}+\frac{y^{2}}{3}=1可得a=2;椭圆的定义可得:|AF_{1}|+|AF_{2}|=|BF_{1}|+|BF_{2}|=2a=4\therefore\triangleABF_{2}的周长=|AB|+|AF_{2}|+|BF_{2}|=|AF_{1}|+|BF_{1}|+|AF_{2}|+|BF_{2}|=8.

[301] 设点M(\frac{y^{2}}{4},y),\because|MO|=\sqrt{5},(\frac{y^{2}}{4}-0)^{2}+(y-0)^{2}=5,\thereforey2=4或y2=-16(舍去)\thereforex=\frac{y^{2}}{4}=1,\thereforeM到抛物线y^{2}=4x的准线x=-1的距离d=1-(-1)=2,\because点M到该抛物线焦点的距离等于点M到抛物线y2=4x的准线的距离,\therefore点M到该抛物线焦点的距离为:2b交家为,2

[302] \because|PF_{1}|-|PF_{2}|=2\sqrt{6},由双曲线的定义可知a=\sqrt{6}由e=\frac{c}{a}=\frac{\sqrt{6}}{2},得c=3,则b^{2}=c^{2}-a^{2}=3,所以双曲线C的方程为\frac{x^{2}}{6}-\frac{y^{2}}{3}=1

[304] 根据抛物线定义,即可求得答案.\becausey^{2}=2px(p>0),焦点坐标为(\frac{1}{8},0)\therefore\frac{p}{2}=\frac{1}{8},解得:p=\frac{1}{4}.

[305] 若椭圆焦点在x轴上,则\begin{cases}t^{2}-5t=(\frac{2\sqrt{6}}{2})^{2}\\2-6,0\end{cases},解得:t=6若椭圆焦点在y轴上,则\begin{cases}t^{2}>5t>0\\5t-t^{2}=(\frac{2\sqrt{6}}{2})\\5t>t^{2}>0\end{cases},解得:t=2或3

[308] 根据椭圆标准方程的特征,列出不等式求解,即可得出结果因为方程\frac{x2}{5-m>0}+\frac{y^{2}}{m+3}=1表示椭圆,\_所以\begin{cases}m+3>0\\5-m+3\end{cases},解得-3<m<1或1<m<5,即m的取值范围为(-3,1)\cup(1,5

[309] 先求出直线FP的斜率为\frac{-b-0}{0-(-c)}=-\frac{b}{c},设A(x_{1},y_{1}),B(x_{2},y_{2}),再利用点差法求出直线AB的斜率为k_{AB}=\frac{y_{1}-y_{2}}{x_{1}-x_{2}}=-\frac{2b^{2}}{a2},利用斜率相等可得a,b,c之间的关系,结合a^{2}=b^{2}+c^{2}即可求离心率.由题意知F(-c,0),P(0,-b),所以直线FP的斜率为\frac{-b-0}{0-(-c)}=-\frac{b}{c}设A(x_{1},y_{1}),B(x_{2},y_{2}),则\frac{x_{1}^{2}}{a^{2}}+\frac{y_{1}^{2}}{b^{2}}=1\textcircled{1},\frac{x_{2}2}{a^{2}}+\frac{y_{2}^{2}}{b^{2}}=1\textcircled{2}.\textcircled{1}-\textcircled{2}得:\frac{x_{1}2-x_{2}}{a^{2}}=-\frac{y_{1}2-y_{2}2}{b^{2}}即\underline{(x_{1}+x_{2})(x_{1}-x}a^{2}(y_{1}-2)因为M(1,\frac{1}{2})是A,B的中点,所以x_{1}+x_{2}=2,y_{1}+y_{2}=1,所以\frac{2(x_{1}-x_{2})}{a^{2}}=-\frac{(y_{1}-y_{2})}{b^{2}},所以k_{AB}=\frac{y_{1}-y_{2}}{x_{1}}=-\frac{2b^{2}}{a^{2}}因为AB//FE,所以-\frac{b}{c}=-\frac{2b^{2}}{a^{2}},即a^{2}=2bc,所以b^{2}+c^{2}=2bc所以b=c,所以a^{2}=b^{2}+c^{2}=2c^{2},所以e=\frac{c}{a}=\frac{\sqrt{2}}{2}

[311] 设P(x,y),由F_{1},F_{2}分别为左、右焦点,即F_{1}(-2,0),F_{2}(2,0)\overrightarrow{F_{1}}\cdot\overrightarrow{PF_{2}}=(-2-x,y)(2-x,y)=-(4-x^{2})+y^{2}=-4+x^{2}+y^{2},由P在双曲线x^{2}-\frac{y^{2}}{3}=1,即3x^{2}-y^{2}=3,\therefore\overrightarrow{PF_{1}}\cdot\overrightarrow{PF_{2}}=.\frac{4+x^{2}+y^{2}=4x^{2}-7,}{|\overrightarrow{PF}|}=\sqrt{(-2-x)^{2}+y^{2},||\overrightarrow{PF_{2}}|}=\sqrt{(2-x)^{2}+y^{2}},则|\overrightarrow{PF_{1}}|+|\overrightarrow{PF_{2}}|=\sqrt{(2+x^{2}+y_{2}+=\sqrt{(2-x^{2}+y)^{2}}=10将3x^{2}-y^{2}=3,代入上式,解得x=\frac{5}{2},故\overrightarrow{PF}\cdot\overrightarrow{PF_{2}}=-4+x^{2}+y^{2}=4x^{2}-7=25-7=18,

[312] 先证明4AMN是正三角形,在AMFF中,由余弦定理、结合双曲线的定义可得|FF|^{2}+|FM|^{2}-2|FF||FM|\cos120^{\circ}=|FM|^{2}=(|FM|+2a)^{2},化为3c^{2}-ac-4a^{2}=0,从而可得结果.由题意,得A(-a,0),F(c,0),另一个焦点F(-c,0)由对称性知,AM=AN,又因为线段AM的垂直平分线经过点N则AN=MN,可得AAMN是正三角形,如图所示,连接MF,则AF=MF=a+c.由图象的对称性可知,\angleMAF=\angleNAF=\frac{1}{2}\angleMAN=30^{\circ}又因为4AMF是等腰三角形,则\angleAFM=120^{\circ},在AMFF中,由余弦定理:|FF|^{2}+|FM|^{2}-2|FF||FM|\cos120^{\circ}=|FM|^{2}=(|FM|+2a)^{2}上式可化为4c^{2}+(a+c)^{2}-2\times2c(a+c)(-\frac{1}{2})=(3a+c)^{2}整理得:3c^{2}-ac-4a^{2}=0,即(c+a)(3c-4a)=0,由于a>0,c>0,则3c-4a=0,c=\frac{4}{3}a故e=\frac{c}{a}=\frac{4}{3},

[313] 由题意,双曲线\frac{x^{2}}{m}-\frac{y^{2}}{n}=1的渐近线方程为5x\pm3y=0,即y=\pm\frac{5}{3}x当m>0,n>0时,此时双曲线的焦点在x轴上,所以\frac{\sqrt{n}}{\sqrt{m}}=\frac{5}{3},即\frac{n}{m}=\frac{25}{9}所以双曲线的离心率为e=\frac{\sqrt{m+n}}{\sqrt{m}}=\sqrt{1+\frac{n}{m}}=\sqrt{\frac{34}{9}}=\frac{\sqrt{34}}{3}当m<0,n<0时,此时双曲线的焦点在y轴上,所以\frac{\sqrt{-n}}{\sqrt{-m}}=\frac{5}{3},即\frac{n}{m}=\frac{25}{9}所以双曲线的离心率为e=\frac{\sqrt{m+n}}{\sqrt{n}}=\sqrt{1+\frac{m}{n}}=\sqrt{\frac{34}{25}}=\frac{\sqrt{34}}{5}所以双曲线的离心率为\frac{\sqrt{34}}{3}或\frac{\sqrt{34}}{5}

[315] 由题设,C:y^{2}=4x的焦点为(1,0),可设直线y=k(x-1),联立抛物线方程\thereforek^{2}x^{2}-2(k^{2}+2)x+k^{2}=0,若A(x_{1},y_{1}),B(x_{2},y_{2})\thereforex_{1}+x_{2}=2+\frac{4}{k^{2}},x_{1}x_{2}=1,则y_{1}+y_{2}=k(x_{1}+x_{2}-2)=\frac{4}{k},y_{1}y_{2}=k^{2}[x_{1}x_{2}-(x_{1}+x_{2})+1=-4\because\angleAMB=90^{\circ},即\overrightarrow{MA}\cdot\overrightarrow{MB}=(x_{1}+1,y_{1}-2)\cdot(x_{2}+1,y_{2}-2)=0,\thereforex_{1}x_{2}+x_{1}+x_{2}+1+y_{1}y_{2}-2(y_{1}+y_{2})+4=0,则\frac{1}{k^{2}}-\frac{2}{k}+1=0,\thereforek=1.

[318] 分析:由点P(1,-2)在直线y=kx+2上,求出k的值,从而确定a,c的值,进而可得结果.详\becauseP(1,-2)在y=kx+2上,\therefore-2=k+2,k=-4,-4x^{2}+3y^{2}=1,化为\frac{y^{2}}{3}-\frac{x^{2}}{\frac{1}{4}}=1a=\frac{\sqrt{3}}{3},\thereforec=\sqrt{\frac{1}{4}+\frac{1}{3}}=\frac{\sqrt{7}}{2\sqrt{3}},\thereforee=\frac{c}{a}=\frac{\sqrt{7}}{2},

[321] 不妨设A(x_{0},y_{0}),且点A在x轴上方,x_{0}=3\cos\alpha,y_{0}=\sqrt{6}\sin\alpha,由题得a=3,b=\sqrt{6},c=\sqrt{3},由题得|AF|=|BF|=\sqrt{(3\cos\alpha-\sqrt{3})^{2}+(\sqrt{6}\sin\alpha)^{2}}=2(3-\sqrt{3}\cos\alpha)则AABF的周长l=|AF|+|BF|+|AB|=6+2\sqrt{6}\sin\alpha-2\sqrt{3}\cos\alpha=6+6\sin(\alpha+\theta).当且仅当2\sqrt{6}\sin\alpha-2\sqrt{3}\cos\alpha=6时,AABF的周长最大.由\begin{cases}2\sqrt{6}\sin\alpha-2\sqrt{3}\cos\alpha=6\\\sin2\alpha+\cos2\alpha=1\end{cases},得\cos\alpha=-\frac{\sqrt{3}}{3}\thereforeA(-\sqrt{3},2),B(-\sqrt{3},-2),此时AB过左焦点,在AABF中,AF=\sqrt{2^{2}+(2\sqrt{3})^{2}}=4所以\sinA=\frac{2\sqrt{3}}{4}=\frac{\sqrt{3}}{2},由正弦定理可得^{2R=\frac{BF}{\sinA}}=\frac{4}{\sqrt{3}}=\frac{8}{\sqrt{3}}所以三角形外接圆面积为S=\piR^{2}=与本题主要考查了椭圆的性质,考查三角形外接圆的面积的计复,意在考查学生对这些知识的理解堂据水平

[322] 将直线与椭圆方程联立,根据韦达定理确定根与系数关系,再利用弦长公式|AB|=\sqrt{(1+k^{2})[(x_{1}+x_{2})^{2}-4x_{1}x_{2}}]求得弦长由直线l:x+2y-4=0与椭圆C:x^{2}+4y^{2}=16交于A,B两点设A(x_{1},y_{1}),B(x_{2},y_{2})-4x_{1}x_{2}]=\sqrt{[1+()}^{2}_{1\times4^{2}}=2\sqrt{5}2\sqrt{5}青】解决直线与椭圆的综合问题时,要注意(1)注意观察应用题设中的每一个条件,明确确定直线、椭圆的条件;(2)强化有关直线与椭圆联立得出一元二次方程后的运算能力,重视根与系数之间的关系、弦长.斜率,三角形的面积等问题.

[323] 设点F_{2}(c,0)到渐近线y=\frac{b}{a}x的距离为d=\frac{|bc|}{\sqrt{1+(\frac{b}{a})^{2}}}=b,即|\overrightarrow{MF_{2}}|=b又|\overrightarrow{MF_{1}}|=3|\overrightarrow{MF_{2}}|.所以|\overrightarrow{MF_{1}}|=3b,在\triangleMF_{1}O中,|\overrightarrow{OM}|=a,|\overrightarrow{OF}|=c,\cos\angleF_{1}OM=-\frac{a}{c},由余弦定理得:\frac{a^{2}+c^{2}-9b^{2}}{2ac}=-\frac{a}{c}又c^{2}=a^{2}+b^{2},得a^{2}=2b^{2},即\frac{b}{a}=\frac{\sqrt{2}}{2}所以渐近线方程为y=\pm\frac{\sqrt{2}}{2}x

[324] \because两条渐近线互相垂直,\therefore\frac{b}{12}\times(-\frac{b}{12})=-1,\thereforeb^{2}=144,\thereforec^{2}=288,\thereforee=\sqrt{2}.

[326] 设该双曲线方程为\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0),其渐近线方程为y=\pm\frac{b}{a}x焦点为F(c,0),点B(0,b)是虚轴的一个端点,\therefore直线FB的斜率为k_{FB}=\frac{0-b}{c-0}=-\frac{b}{c};\because直线FB与直线y=\frac{b}{a}x,互相垂直,\therefore-\frac{b}{c}\times\frac{b}{a}=-1,得b^{2}=ac'\becauseb^{2}=c^{2}-a^{2},\thereforec^{2}-a^{2}=ac,两边都除以a^{2},整理得-e-1=0,解得e=\frac{\sqrt{5}+1}{2}(e>1)

[327] 注意到在\triangleF_{2}BF_{1}中,OA为中位线,可得\triangleOBF_{1}为等边三角形,从而得到2a=c,e=2.[详解]由题意知在\triangleBF_{1}F_{2},A为边BF_{2}的中点,BF_{1}\botBF_{2},|OA|=a,|BF|=2a,|OB|=c\because\triangleOBF为等腰三角形,又\because\angleAOF_{2}=\angleBOF_{1}=\angleBF_{1}O,\therefore\triangleOBF为等边三角形\therefore2a=c,e=2b然安为.2

[328] 根据椭圆方程\frac{x2}{3}+\frac{y^{2}}{2}=1'可得a^{2}=3,b^{2}=2'所以c^{2}=a^{2}-b^{2}=1,所以c=1,所以焦点坐标为(-1,0),(1,0),

[329] 由题意可知a=5,b=3,c=\sqrt{25+9}=\sqrt{34},且|MF_{1}|=18,由双曲线的定义得|MF_{1}|-|MF_{2}||=2a,即|18-|MF_{2}||=10,解得|MF_{2}|=8或28,均满足|MF_{2}|\geqslantc-a.

[332] 由x=\frac{1}{12}y2,则:y^{2}=12x,F(3,0),椭圆方程为;\frac{x^{2}}{3k}+\frac{y^{2}}{3}=1(k>0)则;a^{2}=3k,b^{2}=3,c^{2}=9,由a^{2}=b^{2}+c^{2},k=4,e=\frac{c}{a}=\frac{\sqrt{3}}{2}

[333] 因为椭圆\frac{x^{2}}{m}+\frac{y^{2}}{4}=1的焦距为2,所以c=1,若焦点在x轴上,则有m=4+c^{2},解得m=5;若焦点在y轴上,则有4=m+c^{2},解得m=3;综上所述,m=3或5.

[334] 依题意可得2a=6,2b=6\sqrt{3},所以a=3,b=3\sqrt{3},所以e=\frac{c}{a}=\frac{\sqrt{a^{2}+b^{2}}}{a}=2.

[335] 抛物线x^{2}=my(m>0)的焦点为(0,\frac{m}{4}),则点P到x周的距离为5-\frac{m}{4},线段MF的中点坐标为(0,\frac{7+\frac{m}{4}}{2}),由|PF|=|PM,|可得7+\frac{m}{4}=5-\frac{m}{4},\thereforem=4,抛物线的方程为x^{2}=4y即答案为x^{2}=4y.

[336] 解析过程略

[338] 设Q(x_{0},1),若QN的倾斜角为45^{\circ},则直线方程为y-1=x-x_{0},即y=x-x_{0}+1由\begin{cases}y=x-x_{0}+1\\\frac{x^{2}}{2}+y^{2}=1\end{cases},消去y得,3x^{2}+4(1-x_{0})x+2x_{0}^{2}-4x_{0}=0,所以A=16(1-x_{0})^{2}-12(2x_{0}^{2}-4x_{0})\geqslant0,解得1-\sqrt{3}\leqslantx_{0}\leqslant1+\sqrt{3}若QN的倾斜角为135^{\circ},则直线方程为y-1=-(x-x_{0}),即y=-x+x_{0}由\begin{cases}y=-x+x_{0}\\\frac{x^{2}}{2}+y^{2}=1\end{cases}+1,消去y得,3x^{2}-4(1+x_{0})x+2x_{0}^{2}+4x_{0}=0,所以A=16(1+x_{0}^{2}-12(2x_{0}^{2}+4x_{0})\geqslant0,解得-1-\sqrt{3}\leqslantx_{0}\leqslant-1+\sqrt{3}当x_{0}=0时,Q与M重合,不合题意,综上,x_{0}的取值范围是[-1-\sqrt{3},0)\cup(0,1+\sqrt{3}]

[342] 直线AP:y=\frac{b}{-c}(x-c),即y=-\frac{b}{c}x+b'联立椭圆方程解得:x_{p}=\frac{2a2c}{a^{2}+c^{2}}所以P(\frac{2a2c}{a2+c^{2}},\frac{-b^{3}}{a^{2}+c^{2}}),所以_{k_{PB}}=\frac{bc}{a^{2}}=\frac{\sqrt{3}}{4},解得离心率\frac{c}{a}=\frac{1}{2}或\frac{\sqrt{3}}{2}

[343] 当Q为椭圆上下顶点时\angleF_{1}QF_{2}最大,所以120^{\circ}\leqslant\angleF_{1}QF_{2}<180^{\circ},则60^{\circ}\leqslant\angleF_{1}QO<90^{\circ},所以\sin60^{\circ}\leqslant\sin\angleF_{1}QO<\sin90^{\circ}因为|F_{1}Q|=a,|F_{1}O|=c,所以\frac{\sqrt{3}}{2}\leqslant\frac{c}{a}<1,即椭圆离心率的取值范围为(\frac{\sqrt{3}}{2},1)故选:D.

[344] 由点在抛物线上可得抛物线的方程为x^{2}=\frac{1}{4}y,结合抛物线的性质可得抛物线的准线方程与焦点坐标,即可得解.羊解】由点(1,4)在抛物线y=px^{2}上可得p=4,所以该抛物线方程为x^{2}=\frac{1}{4}y所以该抛物线的焦点为(0,\frac{1}{16}),准线方程为y=-\frac{1}{16}所以抛物线的焦点到准线的距离等于\frac{1}{16}+\frac{1}{16}=\frac{1}{8}

[345] \becausea=2b,则c=\sqrt{3}b,\therefore椭圆T:\frac{x^{2}}{4b^{2}}+\frac{y^{2}}{b^{2}}=1,左焦点F(-\sqrt{3}b,0)设直线:y=x+\sqrt{3}b,A(x_{1},y_{1}),B(x_{2},y_{2})立方程:\begin{cases}y=x+\sqrt{3}b\\\frac{x^{2}}{4a^{2}}+\frac{y^{2}}{12}=1\end{cases}消去得:5x^{2}+8\sqrt{3}bx+8b^{2}=0=-\frac{8\sqrt{3}}{5}b,x_{1}x_{2}=\frac{8b^{2}}{5}

[347] 令\frac{x^{2}}{m^{2}}-\frac{y^{2}}{n^{2}}=1离心率e_{1},-\frac{x^{2}}{m^{2}}+\frac{y^{2}}{n^{2}}=1离心率为e_{2},因为互为共轭双曲线所以\frac{1}{e_{1}^{2}}+\frac{1}{e_{2}^{2}}=1\Rightarrow\frac{1}{(4)^{2}}+\frac{1}{e_{2}^{2}}=1\Rightarrow\frac{1}{e_{2}^{2}}=1-\frac{9}{16}=\frac{7}{16}\Rightarrowe_{2}^{2}=\frac{16}{7}\Rightarrowe_{2}=\sqrt{\frac{16}{7}}=\frac{4\sqrt{7}}{7}

[349] 由已知得及椭圆的定义,c=2,|PF_{1}|+|PF_{2}|=2m,|_{PF_{1}}|\cdot|PF_{2}|\leqslant(\frac{|PF_{1}|+|PF_{2}|}{2})^{2}\Rightarrow2\sqrt{3}m\leqslantm^{2}\Rightarrowm\geqslant2\sqrt{3}又e=\frac{c}{a}=\frac{c}{m},故e\in(0,\frac{\sqrt{3}}{3}]

[351] 由条件可知p=6,设A(x_{1},y_{1}),B(x_{2},y_{2})\because线段AB中点的横坐标为-9,\thereforex_{1}+x_{2}=-18,|AB|=p-(x_{1}+x_{2})=6+18=24

[352] 求得双曲线的渐近线方程,由两直线垂直的条件:斜率之积为-1,可得b=2a,由双曲线的定义可得a,b,再由a,b,c的关系可得c,进而得到焦距.详解】双曲线C:\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0)的渐近线为y=\pm\frac{b}{a}x一条渐近线与直线1:x\cdot2y=0相互垂直,可得\frac{b}{a}=2,即b=2a,由双曲线的定义可得2a=|PF_{1}|-|PF_{2}|=3,可得a=\frac{3}{2},b=3,即有c=\sqrt{a^{2}+b^{2}}=\sqrt{\frac{9}{4}+9}=\frac{3\sqrt{5}}{2}即焦距为2c=3\sqrt{5},

[353] 由于双曲线25x^{2}-16y^{2}=400,所以双曲线标准方程为\frac{x^{2}}{16}-\frac{y^{2}}{25}=1所以双曲线25x^{2}-16y^{2}=400的渐近线方程为5x\pm4y=0.

[354] 若方程\frac{x^{2}}{m}+\frac{y^{2}}{4-m}=1的曲线是焦点在x轴上的双曲线,则\begin{cases}m>0\\4-n\end{cases}4-m<0'解得m>4.若方程\frac{x^{2}}{m}+\frac{y^{2}}{4-m}=1的曲线是焦点在y轴上的双曲线,则\begin{cases}m\\4-\end{cases}<0_{m>0},解得m<0因此,实数m的取值范围是(-\infty,0)\cup(4,+\infty).

[355] 将双曲线的方程化为标准方程:\frac{y2}{9}-\frac{x^{2}}{16}=1,\therefore实轴长2\cdot3=6,渐近线方程为3x\pm4y=0,将圆的方程化为标准方程:(x-1)^{2}+y^{2}=1-m,\therefore\frac{3}{\sqrt{3^{2}+4^{2}}}=\sqrt{1-m}\Rightarrowm=\frac{16}{25},故填:6,\frac{16}{25}

[356] 根据\overrightarrow{PA}\cdot\overrightarrow{PB}=x^{2}-6列式化简,即可得出结果.因为A(-2,0),B(3,0),P(x,y)所以\overrightarrow{PA}=(-2-x,-y),\overrightarrow{PB}=(3-x,-y)又\overrightarrow{PA}\cdot\overrightarrow{PB}=x^{2}-6,所以(-2-x)(3-x)+y^{2}=x^{2}-6,整理得y^{2}=x.

[357] 抛物线y^{2}=4x的焦点F(1,0)\because直线AB过焦点F(1,0)且倾斜角为\frac{\pi}{4},\therefore可求直线AB:y=x-1.联立方程组,消去y,得:x2-6x+1=0,则有:x_{1}+x_{2}=6,\therefore|AB|=x_{1}+x_{2}+p=6+2=8.

[359] 设点E的坐标为(x,y),点P的坐标为(x_{0},y_{0}),点D的坐标为(x_{0},0),则\begin{cases}x=x_{0}\\y=\frac{y_{0}}{2}\end{cases},即\begin{cases}x_{0}=x\\y_{0}=2y'\end{cases}因为点P(x_{0},y_{0})在椭圆x^{2}+\frac{y^{2}}{4}=1上所以x^{2}+\frac{(2y)^{2}}{4}=1,即x^{2}+y^{2}=1.

[360] 由题意知:|FH|=2,|PF|=|PQ|,MN/QF,PQ//OR.由\angleNRF=60^{\circ},可得\trianglePQF为等边三角形,MF\botPQ,可得F为HR的中点,即求|FR|.不妨设点P在第一象限,如图所示,连接MF,QF.\because抛物线C:y^{2}=4x的焦点为F,准线为l,P为C上一点\therefore|FH|=2,|PF|=|PQ|\becauseM,N分别为PQ,PF的中点,\thereforeMN//OF\becausePQ垂直/于点Q,PQ//OR,|PF|=|PQ|,\angleNRF=60^{\circ}\therefore\trianglePQF为等边三角形,\thereforeMF\botPQ,易知四边形MOHF和四边形MQFR都是平行四边形\thereforeF为HR的中点,\therefore|FR|=|FH|=2,

[361] 直线l的斜率为-\frac{\sqrt{3}}{3},-条渐近线与直线l垂直,则\frac{b}{a}=\sqrt{3},b=\sqrt{3}a,设焦点为F(c,0),则\frac{c}{\sqrt{1^{2}+(\sqrt{3}})}\frac{c}{F}^{\frac{1}{2}}=1,c=2\thereforea^{2}+b^{2}=a^{2}+3a^{2}=c^{2}=4,解得a=1,\therefore实轴长为2a=2

[362] 解析:|AF|=x_{A}+2=6\Rightarrowx_{A}=4,代入y^{2}=8x\Rightarrowy_{A}=\pm4\sqrt{2},即A(4,\pm4\sqrt{2})

[364] 设A(x_{1},y_{1}),B(x_{2},y_{2}),根据题意可得x_{1}+x_{2}=4,y_{1}+y_{2}=2又\becausey_{1}^{2}=2x_{1},y_{2}^{2}=2x_{2}\therefore两式相减,化简可得\frac{y_{1}-y_{2}}{x_{1}-x_{2}}=\frac{2}{y_{+}y_{2}}=1,即直线AB的斜率为1\therefore直线AB的方程为y=x-1.

[365] \because抛物线方程为y^{2}=x,\therefore抛物线的焦点F(\frac{1}{4},0)-----设点M(x_{0},y_{0}),得|MF|=\sqrt{(x_{0}-\frac{1}{4})^{2}+y_{0}^{2}}=将y_{0}^{2}=x_{0}代入,得(x_{0}-\frac{1}{4})^{2}+x_{0}=1解之得x_{0}=\frac{3}{4}或x_{0}=-\frac{5}{4}(舍去)

[367] 由题意,\frac{b}{a}=\frac{\sqrt{3}}{2},\because抛物线y^{2}=4\sqrt{7}x的准线方程为x=-\sqrt{7},双曲线的一个焦点在抛物线y^{2}=4\sqrt{7}x的准线上\thereforec=\sqrt{7},\thereforea^{2}+b^{2}=c^{2}=7,\thereforea=2,b=\sqrt{3},\therefore双曲线的方程为\frac{x^{2}}{4}-\frac{y^{2}}{3}=

[368] \because\because|\overrightarrow{AO}|=|\overrightarrow{AF}|,\therefore点A在第一象限,且点A的横坐标为\frac{c}{2},代入7x-\sqrt{14}y=0得y=\frac{\sqrt{14}}{4}c'即点A的坐标为(\frac{c}{2},\frac{\sqrt{14}}{4}c)将A点坐标代入椭圆方程得\frac{4}{16}+\frac{14c^{2}}{16b^{2}}=1,得c^{2}=\frac{1}{b^{2}+14},又c^{2}=4-b^{2}所以(4-b^{2})(b^{2}+14)=16b^{2},化简得b^{4}+26b^{2}-56=0,解得b^{2}=2或b^{2}=-28(舍),所以c^{2}=2,\therefore椭圆C的离心率e=\frac{\sqrt{2}}{2}

[369] 设出A,B点坐标,根据两点在椭圆上,代入椭圆方程,作差,利用中点坐标公式,即可化简,求出直线AB的斜率,再根据斜率和直线上的定点坐标,写出点斜式方程设A(x_{1},y_{1}),B(x_{2},y_{2}),则\begin{cases}3x_{1}^{2}+y_{1}^{2}=36\\3x_{2}^{2}+y_{2}^{2}=36^{,}\end{cases}.3(x_{1}-x_{2})(x_{1}+x_{2})+(y_{1}-y_{2})(y_{1}+y_{2})=0依题意,x_{1}\neqx_{2},\thereforek_{AB}=-\frac{3(x_{1}+x_{2})}{y_{1}+y_{2}}.\becauseN(1,3)是AB的中点,\thereforex_{1}+x_{2}=2,y_{1}+y_{2}=6从而k_{AB}=-1.所以直线AB的方程为y-3=-(x-1),即x+y-4=0

