# 圆锥曲线问题推理过程数据集
# 共 5357 个有效样本 ([2]~[7756])
# 格式：[样本ID] 推理过程


[1568] 根据圆的一般方程求解圆心坐标,根据双曲线渐近线方程求解即可.依题意,圆C':(x-2)^{2}+(y-3)^{2}=13的圆心为(2,3)故y=\frac{b}{a}x过点(2,3),则\frac{b}{a}=\frac{3}{2}故双曲线C的渐近线方程为y=\pm\frac{3}{2}x

[1569] 由题意得:\because抛物线C:y^{2}=8x的焦点为F(2,0),PF与x轴垂直\thereforeP点的横坐标为2\thereforey^{2}=16,即y=\pm4故P点的坐标为(2,4)或(2,-4)又\becauseQ为x轴上一点,且OQ为直径,P点在圆上故设圆心为(m,0),于是有(2-m)^{2}+16=m^{2},即20-4m=0\Rightarrowm=5所以圆的方程为(x-5)^{2}+y^{2}=25x^{2}

[1570] 利用椭圆定义解决焦点三角形问题简单快捷[详解]设|PF_{1}|=r_{1},|PF_{2}|=r_{2},则由\angleF_{1}PF_{2}=90^{\circ}且|F_{1}F_{2}|=8可得r^{2}+r_{2}^{2}=64,且r_{1}+r_{2}=10.可得r_{1}r_{2}=18,所以S_{\trianglePF_{1}F_{2}}=\frac{1}{2}r_{1}r_{2}=9.b女安为.9

[1571] 由抛物线方程y^{2}=4x,得其准线方程为x=-1,设M(x_{1},y_{1}),N(x_{2},y_{2}),由抛物线的定义得|MF|+|NF|=x_{1}+1+x_{2}+1=5,即x_{1}+x_{2}=3,所以线段MN中点的横.坐标为\frac{x_{1}+x_{2}}{2}=\frac{3}{2}所以线段MN的中点到y轴的距离为\frac{3}{3}

[1572] 椭圆\frac{x^{2}}{9}+\frac{y^{2}}{5}=1的焦点为F_{1}(-2,0),F(2,0),\because抛物线y^{2}=2px(p>0)的准线经过椭圆\frac{x^{2}}{9}+\frac{y^{2}}{5}=1的一个焦点,\therefore该抛物线的准线方程为x=-2.

[1575] 因为离心率为\frac{\sqrt{3}}{2},所以\frac{\sqrt{a^{2}-1}}{a}=\frac{\sqrt{3}}{2}\Rightarrowa=由椭圆定义得|AF_{2}|+|BF_{2}|+|AB|=4a=8,即|AF_{2}|+|BF_{2}|=8-|AB|而由焦点弦性质知当AB\botx轴时,|AB|取最小值_{2}\times\frac{b^{2}}{a}=1,因此|AF_{2}|+|BF_{2}|的最大值等于8-1=7.

[1576] 设A(0,-b),F(c,0),作BC\boty轴,垂足为C,如下图所示:|x|=\sqrt{b^{2}+c^{2}}=a由\overrightarrow{AF}=2\overrightarrow{FB}得:\frac{|\overrightarrow{AF}|}{|\overrightarrow{AB}|}=\frac{c}{|\overrightarrow{BC}|}=\frac{2}{3}\therefore|\overrightarrow{BC}|=\frac{3}{2}c,即:x_{B}=\frac{3}{2}c由椭圆的焦半径公式可知:|\overrightarrow{BF}|=a-ex_{B}\therefore\frac{|\overrightarrow{AF}|}{|\overrightarrow{FB}|}=\frac{a}{a-ex_{B}}=\frac{a}{a-\frac{c}{a}\cdot\frac{3c}{2}}=2,整理可得:a^{2}=3c^{2}\becausee^{2}=\frac{1}{3},即e=\frac{\sqrt{3}}{3}本题正确结果:\frac{\sqrt{3}}{3}

[1578] 由双曲线焦点三角形面积公式S=b^{2}\cot\xrightarrow{\angleF_{1}PF_{2}}得b^{2}=12\thereforec^{2}-a^{2}=12又e=\frac{c}{a}=2\thereforec^{2}=16,a^{2}=4,b^{2}=12,方程为\frac{x^{2}}{4}-\frac{y^{2}}{12}=1

[1582] 由题得|AF_{1}+|AF_{2}|+|BF_{1}|+|BF_{2}|=4\sqrt{3},求出a的值,再根据离心率求出c和b的值,即得椭圆的方程.由椭圆的定义可得,|AF_{1}|+|AF_{2}|=2a,|BF_{1}|+|BF_{2}|=2a又因为|AF_{1}|+|AF_{2}|+|BF_{1}|+|BF_{2}|=4\sqrt{3}所以4a=4\sqrt{3},解得a=\sqrt{3},又因为_{e}=\frac{c}{a}=\frac{\sqrt{3}}{3},所以c=1,所以b^{2}=a^{2}-c^{2}=2^{n}所以椭圆方程为\frac{x^{2}}{3}+\frac{y^{2}}{2}=1

[1583] 由已知条件得,2p=1,即p=\frac{1}{2},故抛物线y=x^{2}的焦点坐标为(0,\frac{1}{4})

[1585] 根据椭圆的标准方程的类型列式可得结果.因为方程\frac{x^{2}}{k-4}+\frac{y^{2}}{10-k},解得7<k<10.

[1586] 根据双曲线的标准方程得到a,b,c,进而求出离心率a2=4,b^{2}=1\thereforec^{2}=a^{2}+b^{2}=5,所以离心率e=\frac{\sqrt{5}}{2}.

[1587] 根据双曲线的性质得出c的值以及点A坐标,由两点间距离公式得出|AO|,进而得出4AOF是边长为2的正三角形,c=2a,解出b=\sqrt{3},即可得出双曲线的方程根据题意得|FO|=2\Rightarrowc=2,A(a,b),所以|AO|=c,而|FO|=|FA|=c=2,所以AAOF是边长为2的正三角形,于是c=2a\Rightarrowa=1,进而求得b=\sqrt{3},所以双曲线方程为:x^{2}-\frac{y^{2}}{3}=1

[1590] 由题意可得F为线段AB的中点,由双曲线关于x轴对称,可得AB\botx轴,令x=c,求得|AF|,再由直径所对的圆周角为直角,设双曲线C的左顶点M,则|MF|=|AF|,化简整理,运用双曲线的离心率公式可得所求值.\overrightarrow{FA}+\overrightarrow{FB}=\overrightarrow{0},可得F为线段AB的中点,由双曲线关于x轴对称,可得AB\botx轴可令x=c,则y^{2}=b^{2}(\frac{c^{2}}{a^{2}}-1),即y=\pm\frac{b^{2}}{a},可设AF=\frac{b^{2}}{a}以AB为直径的圆经过双曲线C的左顶点M(-a,0)可得AMAB为等腰直角三角形,则|MF|=|AF|即a+c=\frac{b^{2}}{a}=\frac{c^{2}-a^{2}}{a},化为c=2a,则e=\frac{c}{a}=2

[1593] 设点Q的坐标为(a,a^{2}+2),则PQ|^{2}=a^{4}+3a^{2}+1,显然当a=0时,|PQ|的最小值为1设点Q的坐标为(a,a^{2}+2),则|PQ|^{2}=a^{2}+(a^{2}+1)^{2}=a^{4}+3a^{2}+1,故当a^{2}=0,即a=0时,|PQ|^{2}有最小值为1,故|PQ|的最小值为1

[1594] 如图所示,不妨设点M位于第一象限,设抛物线的准线与x轴交于点F',作MB\botl与点B,NA\botl与点A,由抛物线的解析式可得准线方程为x=-2,则AN=2,FF'=4,在直角梯形ANFF中.中位线BM=\frac{AN+FF'}{2}=3,由抛物线的定义有:MF=MB=3,结合题意,有MN=MF=3,故|FN|=|FM|+|NM|=3+3=6

[1595] 根据题意,双曲线的标准方程为\frac{x^{2}}{12}-\frac{y^{2}}{4}=1,则其中b=2,则虚轴的长2b=4

[1597] 由题意可根据焦半径公式求得AF,BF,再利用|MN|等于AF,BF中点纵坐标之差求解即可.由焦半径公式有AF=\frac{2}{1-\cos60^{\circ}}=4,BF=\frac{2}{1+\cos60^{\circ}}=\frac{4}{3}.又|MN|等于AF,BF中点纵坐标y_{1},y_{2}之差.又y_{1}=\frac{1}{2}\timesAF\times\sin60^{\circ}=\sqrt{3},y_{1}=-\frac{1}{2}\timesBF\times\sin60^{\circ}=-\frac{\sqrt{3}}{3}故MN=|y_{1}-y_{2}|=\sqrt{3}-(-\frac{\sqrt{3}}{3})=\frac{4\sqrt{3}}{3}

[1599] 由已知抛物线的准线为x=-2,所以\frac{p}{2}=2,p=4,抛物线方程为y^{2}=8x焦点为F(2,0),因为直线l过焦点,,可设其方程为l:x=ky+2(k\neq0)因为\overrightarrow{MA}\cdot\overrightarrow{MB}=0,所以M在以AB为直径的圆上,设点A(x_{1},y_{1}),B(x_{2},y_{2}).所以\begin{cases}y_{1}^{2}=8x_{1}\\y_{2}^{2}=8x_{2}\end{cases}\frac{1}{2}=8x_{1},两式相减得\frac{y_{1}-y_{2}}{x_{1}-x_{2}}=\frac{8}{y_{1}+y_{2}}=\frac{1}{k},设AB的中点为Q(x_{0},y_{0}),则y_{0}=\frac{y_{1}+y_{2}}{2}=4k'x_{0}=4k^{2}+2,所以Q(4k^{2}+2,4k)是以AB为直径的圆的圆心,由抛物线定义知,圆的半径为r=\frac{|AB|}{2}=\frac{x_{1}+x_{2}+4}{2}=\frac{2x_{0}+4}{2}=4k^{2}+4因为|QM|^{2}=(x_{0}+2)^{2}+(y_{0}-2)^{2}=(4k^{2}+4)^{2}+(4k-2)^{2}=r^{2}所以(4k^{2}+4)^{2}+(4k-2)^{2}=(4k^{2}+4)^{2},解得k=\frac{1}{2}所以|AB|=2r=2[4\times(\frac{1}{7})^{2}+4数答家为:10

[1600] 由于椭圆焦距2c=8,c=4,椭圆焦点在x上,故a^{2}=20+4^{2}=36,a=6,所以椭圆离心率为\frac{c}{a}=\frac{4}{6}=\frac{2}{3}.

[1601] 此弦不垂直于X轴,故设点(1,-1)为中点的抛物线y^{2}=8x的弦的两端点为A(x_{1},y_{i})B(x_{2},y_{2})得到y_{1}^{2}=8x_{1},y_{2}^{2}=8x_{2}两式相减得到(y_{1}+y_{2})(y_{i}-y_{2})=8(x_{1}-x_{2})\thereforek=y_{1}-y_{2}/x_{1}-x_{2}=-4\therefore直线方程为y+1=4(x-1),即4x+y-3=0

[1602] 双曲线\frac{x2}{4}-y^{2}=1的a=2,b=1,c=\sqrt{5},不妨设P为双曲线右支上的点,|PF_{1}|=m,|PF_{2}|=n,则m-n=2a=4,\textcircled{1}由余弦定理可得4c^{2}=m^{2}+n^{2}-2mn\cos90^{\circ}=m^{2}+n^{2}=20,\textcircled{2}联立\textcircled{1}\textcircled{2}可得mn=2

[1606] 抛物线y=\frac{x^{2}}{4}的焦点F(0,1),则直线l:y=-\frac{\sqrt{3}}{3}x+1^{\circ}\begin{cases}y=\frac{x^{2}}{4}\\y=-\frac{\sqrt{3}}{3}x+1\end{cases}\Rightarrow3x^{2}+4\sqrt{3}x-12=0.解得\begin{cases}x=\frac{2\sqrt{3}}{3}\\y=\frac{1}{3}\end{cases}或\begin{cases}x=-2\sqrt{3}\\y=3\end{cases}因为y=\frac{1}{2}x,则l_{1}的斜率k_{1}=\frac{1}{2}\times\frac{2\sqrt{3}}{3}=\frac{\sqrt{3}}{3},l_{2}的斜率k_{2}=\frac{1}{2}\times(-2\sqrt{3})=-\sqrt{3}因为k_{1}\cdotk_{2}=-1,所以CA\botCB,故\overrightarrow{CA}\overrightarrow{CB}=0.

[1607] 因为|AF_{2}|-|AF_{1}|=2a,|AF_{1}|=2a,所以|AF_{2}|=4a,因为|BF_{1}|-|BF_{2}|=2a,所以|BA|+|AF_{1}|-|BF_{2}|=2a,|BA|=|BF_{2}|,因为\angleF_{2}AF_{1}=\frac{2\pi}{3},所以\angleF_{2}AB=\frac{\pi}{3},\becauseF_{2}A=4a\thereforeAB=4a,因此\frac{S_{\triangleAFF}}{S_{\triangleABF_{2}}}=\frac{\frac{1}{2}|AF_{1}|AF_{2}|\sin\frac{2\pi}{2}|AB||AF_{2}|\sin\frac{\pi}{3}}=\frac{|AF|}{|AF_{2}|}=\frac{2a}{4a}=\frac{1}{2},

[1610] 设双曲线C_{1}标准方程为\frac{x^{2}}{a_{1}^{2}}-\frac{y^{2}}{b_{1}^{2}}=1(a_{1}>0,b_{1}>0),双曲线C_{2}的标准方程为\frac{y^{2}}{a_{2}^{2}}-\frac{x^{2}}{b_{2}^{2}}=1(a_{2}>0,b_{2}>0),由题意可得\frac{b_{1}}{a_{1}}=\frac{a_{2}}{b_{2}}=\frac{1}{a},则e_{1}=\frac{c_{1}}{a_{1}}=\sqrt{\frac{c_{1}^{2}}{a_{1}^{2}}}=\sqrt{\frac{a_{1}^{2}+b_{1}^{2}}{a_{1}^{2}}}=\sqrt{1+\frac{b_{1}^{2}}{a_{1}^{2}}}=\sqrt{1+\frac{1}{a^{2}}}同理可得2)^{2}=\sqrt{1+a^{2}},所以,e_{1}e_{2}=\sqrt{(1+\frac{a_{2}}{a^{2}})(1+a^{2})}=\sqrt{a^{2}+\frac{1}{a^{2}}+2}\geqslant\sqrt{2\sqrt{a^{2}\cdot\frac{1}{a^{2}}+2}=2当且仅当a=1时,等号成立,因此,e_{1}e_{2}的最小值为2

[1612] 先求出切线的斜率,即可得出渐近线方程,由渐近线可设出双曲线方程,再代入点P即可求出双曲线方程,得出实轴长.由OP的斜率为k_{OP}=-\frac{1}{2},则圆O在点P处的切线斜率为2,所以双曲线的一条渐近线方程为2x-y=0,所以设双曲线方程为(2x-y)\cdot(2x+y)=m(m\neq0),因点P(2,-1)在双曲线上,所以m=[2\times2-(-1)]\cdot[2\times2+(-1)]=15,所以双曲线方程为4x^{2}-y^{2}=15,即\frac{4x^{2}}{15}-\frac{y^{2}}{15}=1即a^{2}=\frac{15}{4},所以实轴长2a=\sqrt{15}.

[1613] 由题意知,F(\frac{5}{4},0),设点Q(x,y),坐标原点到直线FQ的距离为d.则x+\frac{5}{4}=\frac{25}{4},得x=5,将x=5代入抛物线方程可得|y|=5,在三角形QOF中,S_{\triangleQOF}=\frac{1}{2}OF\times|y|=\frac{1}{2}QF\timesd,即\frac{5}{4}\times5=\frac{25}{4}\timesd,解得d=1.

[1616] 因为P(t,\sqrt{3}t)在椭圆C上,所以可得\frac{t^{2}}{a^{2}}+\frac{3t^{2}}{b^{2}}=1,即t^{2}=\frac{a2b^{2}}{3a^{2}+b^{2}}.由_{|OP|}=\frac{\sqrt{14}}{7}|F_{1}F_{2}|'得t^{2}=\frac{2}{7}c^{2}=\frac{2a^{2}-2b^{2}}{7}所以\frac{a2b^{2}}{3a^{2}+b^{2}}=\frac{2a^{2}-2b^{2}}{7}整理得(6a^{2}+b^{2})(a^{2}-2b^{2})=0.所以a^{2}=2b^{2}=2a^{2}-2c^{2}即a^{2}=2c^{2},e=\frac{c}{a}=\frac{\sqrt{2}}{2}.

[1619] 由题意,圆心C(1,0)为椭圆的右焦点,圆的半径为1,因为AB为圆C:(x-1)^{2}+y^{2}=1的任意一条直径,\overrightarrow{PA}\cdot\overrightarrow{PB}=(\overrightarrow{PC}+\overrightarrow{CA})\cdot\overrightarrow{PC}+\overrightarrow{CB})=(\overrightarrow{PC}+\overrightarrow{CA})\cdot(\overrightarrow{PC}-\overrightarrow{CA})=\overrightarrow{PC}^{2}-\overrightarrow{CA}^{2}=|\overrightarrow{PC}|^{2}-1'由椭圆的定义可得|\overrightarrow{PC}|\in[a-c,a+c]=[2,4],所以\overrightarrow{PA}\cdot\overrightarrow{PB}=|\overrightarrow{PC}|^{2}-1\in[3,15].

[1620] 设所求双曲线方程为\frac{x^{2}}{12}-\frac{y^{2}}{6}=k,代入所过点的坐标,可求解.由题意设所求双曲线方程为\frac{x^{2}}{12}-\frac{y^{2}}{6}=k,因为双曲线过点(2\sqrt{3},所以\frac{12}{12}-\frac{1}{6}=k,k=\frac{5}{6},所以双曲线方程为\frac{x^{2}}{12}-\frac{y^{2}}{6}=\frac{5}{6},即\frac{x^{2}}{10}-\frac{y^{2}}{5}=1

[1621] 双曲线x^{2}-\frac{y^{2}}{24}=1的a=1,c=\sqrt{1+24}=5,两个焦点F_{1}(-5,0),F_{2}(5,0),即|F_{1}F_{2}|=10,由3|PF_{1}|=4|PF_{2}|,设|PF_{2}|=x,则|PF_{1}|=\frac{4}{3}x由双曲线的定义知,\frac{4}{2}x-x=2,解得x=6.\therefore|PF|=8,|PF_{2}|=6,|F_{1}F_{2}|=10,则APF_{1}F_{2}的周长为|PF|+|PF_{1}|+|F_{1}F_{2}|=8+6+10=24

[1623] 由\anglePF_{1}F_{2}=\frac{\pi}{6},\anglePF_{2}F_{1}=\frac{\pi}{3}得:PF_{1}\botPF_{2}且|PF_{2}|=\frac{1}{2}|F_{1}F_{2}|=c由椭圆定义知:|PF_{1}|=2a-|PF_{2}|=2a-c又|PF_{1}|^{2}+|PF_{2}|^{2}=|F_{1}F_{2}|^{2},即:(2a-c)^{2}+c^{2}=4c^{2}整理得:2a=(\sqrt{3}+1)c,解得:e=\frac{c}{a}=\sqrt{3}-1本题正确结果:\sqrt{3}-

[1625] 因为点P在抛物线上,所以点P到直线x=-1的距离d=PF,所以d+PA=PF+PA显然最小值为AF.[详解]如图,点P在抛物线y^{2}=4x上所以点P到直线x=-1的距离d=PF所以d+PA=PF+PA当P、A、F三点共线时最小为2\sqrt{2}.

[1627] 设过点P(-1,2)的直线与椭圆交于A(x_{1},y_{1}),B(x_{2},y_{2}),代入椭圆的方程,两式相减,结合中点公式和斜率公式,求得直线AB的斜率,进而求得直线的方程,得到答案.设过点P(-1,2)的直线与椭圆交于A(x_{1},y_{1}),B(x_{2},y_{2}),则由\frac{y_{1}^{2}}{12}+\frac{x_{1}^{2}}{3}=1,\frac{y_{2}^{2}}{12}+\frac{x^{2}}{3}=1两式相减可得\frac{(y_{1}-y_{2})(y_{1}-y_{2})}{12}+\frac{(x_{1}-x_{2})(x_{1}-x_{2})}{3}=0又由点P(-1,2)为A,B的中点,可得x_{1}+x_{2}=-2,y_{1}+y_{2}=4所以k_{AB}=\frac{y_{1}-y_{2}}{x_{1}-x_{2}}=-\frac{12(x_{1}+x_{2})}{3(y_{1}+y_{2})}=2所以过点P(-1,2)且被P平分的弦所在直线的方程为y-2=2(x+1),即2x-y+4=0

[1629] 如图:设D(x_{0},y_{0}),由2|AB_{1}|=3|B_{1}D|,得\frac{AB_{1}}{AD}=\frac{3}{5}根据相似三角形得:\frac{a}{a-x_{0}}=\frac{3}{5}=\frac{b}{y_{0}},求得=\frac{2}{3}a,y_{0}=\frac{5}{3}b,又直线B_{2}F_{1}方程为:\frac{x}{-c}+\frac{y}{-b}=1,将点D代入得:

[1630] 设双曲线的半焦距为c,则焦点坐标为(0,\pmc),而双曲线的渐近线方程为:ax\pmby=0,故焦点到渐近线的距离为\frac{|bc|}{\sqrt{a^{2}+b^{2}}}=b,故b=\sqrt{2}a,故渐近线方程为:x\pm\sqrt{2}y=0,

[1631] 由题意,抛物线E:x^{2}=8y,可得P=4,焦点为F(0,2),因为A为线段CF的中点,可得(-2\sqrt{2},1),则k_{AF}=\frac{2-1}{0-(-2\sqrt{2})}=\frac{\sqrt{2}}{4}所以直线AF的方程为y=\frac{\sqrt{2}}{4}x+2'联立方程组\begin{cases}y=\frac{\sqrt{2}}{4}x+2\\x^{2}=8y\end{cases}整理得x^{2}-2\sqrt{2}x-16=0设A(x_{1},y_{1}),B(x_{2},y_{2}),则x_{1}+x_{2}=2\sqrt{2},可得y_{1}+y_{2}=\frac{\sqrt{2}}{4}(x_{1}+x_{2})+4=5^{5}所以|AB|=y_{1}+y_{2}+p=5+4=9.

[1632] 联立直线方程与抛物线方程可得:k^{2}x^{2}+(2k-2)x+1=0,\textcircled{1}若k=0,则y=1,x=\frac{1}{2},满足题意;\textcircled{2}若k\neq0,则a=(2k-2)^{2}-4k^{2}=0,解得k=\frac{1}{2}综上所述,k=0或\frac{1}{2}.

[1634] 考查更为一般的问题:设P为椭圆C:\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>0,b>0)上的动点,F_{1},F_{2}为椭圆的两个焦点,I为\trianglePF_{1}F_{2}的内心,求点的轨迹方程.解法一:如图,设内切圆l与F_{1}F_{2}的切点为H,半径为r,且F_{1}H=y,F_{2}H=z,PF_{1}=x+y,PF_{2}=x+z直线IF_{1}与IF_{2}的斜率之积:k_{IF_{1}}\cdotk_{IF_{2}}=而根据海伦公式,有\trianglePF_{1}F_{2}的面积为(x+y+z因此有k_{IF_{1}}\cdotk_{IF_{2}}=-\frac{x}{x+y+z}再根据椭圆的斜率积定义,可得I点的轨迹是以F_{1}F_{2}为长轴.离心率e满足e^{2}-1=-\frac{a-c}{a+c}的椭圆其标准方程为\frac{x^{2}}{c^{2}}+\frac{y^{2}}{\frac{a-c}{a+c}\cdotc^{2}}=1(y\neq0).解法二:令P(a\cos\theta,b\sin\theta),则\sin\theta\neq0.三角形PF_{1}F_{2}的面积:S=\frac{1}{2}\cdot2c\cdot|b\sin\theta|=\frac{1}{2}(2c+2a)\cdotr,其中r为内切圆的半径,解得r=\frac{bc\cdot|\sin\theta|}{a+c}=|y_{_{1}}|另一方面,由内切圆的性质及焦半径公式得:(c-x_{1})-(x_{1}+c)=|PF_{1}|-|PF_{2}|=(a-c\cos\theta)-(a+c\cos\theta)从而有x_{1}=c\cos\theta.消去\theta得到点/的轨迹方程为:\frac{x^{2}}{c^{2}}+\frac{y^{2}}{\frac{a-c}{+c}\cdotc^{2}}=1(y\neq0).本题中:a=2,c=1,代入上式可得轨迹方程为:x^{2}+3y^{2}=1(y\neq0)

[1635] 作代换y=y-3,x=x+2,可得出双曲线的方程为\frac{y^{2}}{2}-\frac{x^{2}}{6}=1'求出双曲线\frac{y^{2}}{2}-\frac{x^{2}}{6}=1的焦点坐标与渐近线方程,进而可求得线段AB的长.作代换y=y-3,x=x+2,在平面直角坐标系xOy中,双曲线的方程为\frac{y^{2}}{2}-\frac{x^{2}}{6}=1其中a=\sqrt{2},b'=\sqrt{6},c=2\sqrt{2},双曲线的渐近线方程为y=\pm\frac{a}{b}x=\pm\frac{\sqrt{3}}{3}x^{2}过双曲线\frac{y^{2}}{2}-\frac{x^{2}}{6}=1的焦点(0,2\sqrt{2})且与实轴垂\in直的直线的方程为y=2\sqrt{2}将y=2\sqrt{2}代入直线方程y=\frac{\sqrt{3}}{3}x'可得x=2\sqrt{6}因此,线段AB的长为2|x|=4\sqrt{6}

[1636] 利用离心率即可求出椭圆的方程,然后即可求出椭圆的短轴长.[详解]由题意得c^{2}=a^{2}-b^{2}=m+1-m=1,又\becausee=\frac{c}{a}=\frac{1}{\sqrt{m+1}}=\frac{1}{2},解得m=3,\therefore椭圆的方程为\frac{x^{2}}{4}+\frac{y^{2}}{3}=1则C的短轴长为2b=2\sqrt{3}

[1637] 绘制图像,如图:结合双曲线性质可得,直线l的方程为y=-\frac{4}{3}x,直线BF与一条渐进线平行,说明k=\frac{4}{3}过F(5,0),则直线BF的方程为y=\frac{4}{3}(x-5),联解这两个方程,可得B的坐标为(\frac{5}{2},-\frac{10}{3})而A的坐标为(3,0),所以S_{AAFB}=\frac{1}{2}\cdot2\cdot\frac{10}{3}=\frac{10}{3}睛】本道题考查了双曲线的性质,考查了直线与双曲线的位置关系,难度中等

[1639] 设|FM|=m,由抛物线的方程可知:F(\frac{3}{2},0)因为该抛物线关于横轴对称,所以不妨设M在第一象限,过M做MN\botOF,垂足为N,因为\angleMFO=60^{\circ},所以_{NF}=FM\cdot\cos60^{\circ}=\frac{1}{2}m,MN=FM\cdot\sin60^{\circ}=\frac{\sqrt{3}}{2}m'所以可得M的横坐标为:\frac{3}{2}-\frac{1}{2}m,纵坐标为:\frac{\sqrt{3}}{2}m'所以有(\frac{\sqrt{3}}{2}m)=6(\frac{3}{2}-\frac{1}{2}m)\Rightarrowm=2(负值舍去)

[1640] 由题意可知,当AB垂直于x轴时,不符合题意,故直线AB的斜率存在.设A(x_{1},y_{1},B(x_{2},y_{2}),则y_{1}^{2}=8x_{1}\textcircled{1},y_{2}^{2}=8x_{2}\textcircled{2}.且x_{1}+x_{2}=8,y_{1}+y_{2}=2,\textcircled{1}-\textcircled{2}得(y+y)(y-y)=8(x_{1}-x_{2}),即2(y_{1}-y_{2})=8(x_{1}-x_{2}),即\frac{y_{1}-y_{2}}{x_{1}-x_{2}}=4,故直线AB的斜率k=4,故直线AB的方程为v=4(x-4)+1即4x-y-15=0.点青】本题主要考查与线与抛物线的位置关系,点差法的应用等知识,意在考查学生的转化能力和计算求解能力

[1642] 双曲线\frac{x^{2}}{m^{2}}-y^{2}=1(m>0)的渐近线方程为y=\pm\frac{1}{m}x由由双曲线\frac{x^{2}}{m^{2}}-y^{2}=1(m>0)的一条渐近线方程为x+\sqrt{3}y=0,即y=-\frac{\sqrt{3}}{3}x所以\frac{1}{m}=\frac{\sqrt{3}}{3},即m=\sqrt{3}

[1645] 设点P(x_{0},\frac{1}{4}x0^{2}),则由x^{2}=4y,求导y'=\frac{1}{2}x,\therefore抛物线在P点处的切线的斜率为k=\frac{1}{2}x_{0}.\because圆(x-1)^{2}+(y-2)^{2}=r^{2}(r>0)的圆心的坐标为C(1,2)\thereforek_{PC}=\frac{1}{4}x_{0}^{2}-2\thereforek_{PC}\cdotk=\frac{1}{4}x_{0}^{2-2}.\frac{1}{2}x_{0}=-1\thereforex_{0}=2\thereforeP(2,1)\thereforer=\begin{matrix}\\PC\end{matrix}=\sqrt{(1-2)^{2}+(2-1)^{2}}=\sqrt{2}

[1646] 由题可得,a^{2}=16,b^{2}=4,所以c^{2}=a^{2}-b^{2}=12^{\circ}即a=4,c=2\sqrt{3},因此,e=\frac{c}{a}=\frac{\sqrt{3}}{2}

[1649] 由双曲线方程\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1可得其焦点在x轴上,因为其一条渐近线为y=\sqrt{2}x,所以\frac{b}{a}=\sqrt{2},e=\frac{c}{a}=\sqrt{1+\frac{b^{2}}{a^{2}}}=\sqrt{3}

[1650] 联立\begin{cases}x=c\\a^{2}-\frac{y^{2}}{b^{2}}=1,\\c^{2}=b^{2}+a2\end{cases}解得\begin{cases}x=c\\y=\pm\frac{b^{2}}{a}\end{cases},所以|BF|=\frac{b^{2}}{a}.依题可得,\frac{|BF|}{|AF|}=3,|AF|=c-a,即\frac{b^{2}}{c-a}=\frac{c^{2}-a^{2}}{a(c-a)}=3'变形得c+a=3a,c=2a因此,双曲线C的离心率为2

[1651] \because双曲线的实轴长是虚轴长的2倍,\therefore2a=2\times2b,可得a=2b,c=\sqrt{a^{2}+b^{2}}=\sqrt{5}b=\sqrt{5},\thereforeb=1,a=2,由此可得双曲线的方程为\frac{x^{2}}{4}-y^{2}=1

[1652] y^{2}=8x的焦点为(2,0),圆心(2,0)到直线的距离d=r=\frac{|6+4|}{\sqrt{3^{2}+1^{2}}}=\sqrt{10},故圆方程为:(x-2)^{2}+y^{2}=10

[1654] 根据所给条件画出草图,由三角形的相关知识可得PF_{2}=c,PF_{1}=\sqrt{3}c,又PF_{2}+PF_{1}=2a即可求得椭圆的离心率.如图依题意|OP|=|OF_{2}|,\therefore|OP|=|OF_{2}|=|OF_{1}|\becausek_{PF_{1}}=\frac{\sqrt{3}}{3}=30^{\circ}\therefore\angleOPF_{1}=30^{\circ}\angleOPF_{2}=\angleOF_{2}P=\anglePOF_{2}=60^{\circ}\thereforePF_{2}=c,PF_{1}=\sqrt{3}c\becausePF_{2}+PF_{1}=2a\therefore2a=c+\sqrt{3}c\thereforee=\frac{c}{a}=\frac{2}{1+\sqrt{3}}=\sqrt{3}-1

[1657] 由题意可知,过P所作圆的两条切线关于直线x=1对称设A(x_{1},y_{1}),B(x_{2},y_{2}),P(x_{P},y_{P}),则^{k}PA^{=\frac{y_{P}-y_{1}}{x_{P}-x_{1}}同理k_{PB}=\frac{2p}{y_{P}}+y_{2},k_{AB}=\frac{2p}{y_{1}^{1}}+\frac{2p}{x},因为两条切线关于直线x=1对称,得y_{1}+y_{2}=-2y_{p},所以k_{AB}=\frac{2p}{y_{1}+y_{2}}=\frac{2p}{-2y_{D}}=-1故y_{P}=p,P(1,p),代入抛物线方程,得p^{2}=2p\cdot1,所以p=2,故抛物线方程为y^{2}=4x.

[1660] 因为O为坐标原点,B与F分别为椭圆\frac{x^{2}}{a}+\frac{y^{2}}{b}=1(a>b>0)的上顶点与右焦点且|OB|=|OF|,所以可得b=c,又a=\sqrt{b^{2}+c^{2}}=\sqrt{2}c,所以椭圆的离心率为e=\frac{c}{a}=\frac{\sqrt{2}}{2}

