sample_id,before_curve_type,after_curve_type,before_query_type,after_query_type,query_type_changed,before_reasoning_success,after_reasoning_success,reasoning_transition,before_final_answer_correct,after_final_answer_correct,correctness_transition,before_failure_reason,after_failure_reason,before_reasoning_failure_reason,after_reasoning_failure_reason,before_num_steps,after_num_steps,num_steps_delta,before_first_model,after_first_model,before_last_model,after_last_model,before_model_sequence_len,after_model_sequence_len,model_sequence_changed,model_sequence_lcp,new_model_ids_after,removed_model_ids_after,after_repeated_model_loop,expected_answer,before_predicted_answer,after_predicted_answer,query,facts,before_model_sequence,after_model_sequence
1824,Ellipse,Ellipse,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,0,0,62,62,15,15,False,15,,,False,x^2/25+y^2/9=1,No equation found,No equation found,Expression(G),"G: Ellipse;F1: Point;F2: Point;P: Point;Coordinate(F1) = (-4, 0);Coordinate(F2) = (4, 0);Focus(G) = {F1,F2};PointOnCurve(P, G);Max(Area(TriangleOf(P, F1, F2))) = 12",0 53 63 63 63 63 63 62 62 62 62 62 62 62 62,0 53 63 63 63 63 63 62 62 62 62 62 62 62 62
1830,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,True,True,correct->correct,none,none,none,none,15,15,0,1,1,1,1,15,15,False,15,,,True,x^2/6-y^2/6=1,x^2/6-y^2/6=1,x^2/6-y^2/6=1,Expression(G),"G: Hyperbola;O: Origin;Center(G) = O;PointOnCurve(Focus(G),axis) = True;Eccentricity(G) = sqrt(2);H: Point;Coordinate(H) = (4, -sqrt(10));PointOnCurve(H,G) = True",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1853,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,sqrt(10)/2,sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(C),"C: Hyperbola;b: Number;a: Number;F1: Point;F2: Point;B: Point;A: Point;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);OneOf(Endpoint(ImageinaryAxis(C))) = B;LeftFocus(C) = F1;RightFocus(C) = F2;Intersection(LineSegmentOf(B, F2), C) = A;VectorOf(B, A) = 2*VectorOf(A, F2)",13,13
1892,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,1,1,1,1,15,15,False,15,,,True,sqrt(3),Eccentricity not found,Eccentricity not found,Eccentricity(G),"G: Hyperbola;Expression(Asymptote(G)) = (sqrt(2)*x + pm*y = 0);PointOnCurve(Focus(G), xAxis)",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1902,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,9,9,62,62,15,15,False,15,,,False,sqrt(2) + 1,sqrt(a^2/b^2+1),sqrt(a^2/b^2+1),Eccentricity(C2),"C2: Hyperbola;C1: Parabola;F: Point;A: Point;p: Number;p >0;Expression(C1) = (x^2 =2*p*y);Expression(C2) = (-x^2/b^2 + y^2/a^2 = 1);a: Number;b: Number;a > 0;b > 0;Focus(C1) = Focus(C2);Intersection(C1, C2) = A;Quadrant(A) = 1;LowerFocus(C2) = F;NumIntersection(LineOf(A, F), C1) = 1",9 9 9 9 9 9 9 9 9 9 79 62 62 62 62,9 9 9 9 9 9 9 9 9 9 79 62 62 62 62
1931,Ellipse,Ellipse,Distance,Distance,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,8,8,0,0,0,13,13,8,8,False,8,,,False,sqrt(57)/4,Distance not found,Distance not found,"Distance(Center(H), Center(G))","G: Ellipse;Expression(G) = (x^2/4 + y^2/3 = 1);H: Circle;PointOnCurve(RightVertex(G), H) ;PointOnCurve(RightFocus(G), H);PointOnCurve(Center(H), G)",0 0 0 56 56 56 56 13,0 0 0 56 56 56 56 13
1933,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,3/2,"Abs(LineSegmentOf(B, F)) not found","Abs(LineSegmentOf(B, F)) not found","Abs(LineSegmentOf(B, F))","G: Parabola;H: Line;A: Point;F: Point;B: Point;Expression(G) = (y^2 = 4*x);Focus(G) = F;PointOnCurve(F, H);Intersection(H, G) = {A, B};Abs(LineSegmentOf(A, F)) = 3",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2035,Ellipse,Ellipse,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,"[sqrt(2)/2,1)",Range(Eccentricity(G)) not found,Range(Eccentricity(G)) not found,Range(Eccentricity(G)),"G: Ellipse;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a > b;b > 0;O: Origin;M: Point;N: Point;A: Point;F1: Point;B: Point;l:Line;LeftFocus(G) = F1;Intersection(l, G) = {A, B};MidPoint(LineSegmentOf(A, F1)) = M;MidPoint(LineSegmentOf(B, F1)) = N;IsPerpendicular(LineSegmentOf(O, M), LineSegmentOf(O, N));PointOnCurve(O,l)",13,13
2036,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,62,62,62,62,15,15,False,15,,,True,2,m: Number,m: Number,m,"l: Line;C: Parabola;G: Line;B: Point;D: Point;P: Point;A: Point;O:Origin;Expression(C) = (y^2 = 8*x);Coordinate(P) = (m, 0);m:Number;m>0;PointOnCurve(P, l);Intersection(l, C) = {A, B};PointOnCurve(A,G);PointOnCurve(O,G);Vertex(C)=O;Intersection(G,Directrix(C))=D;IsParallel(LineSegmentOf(B,D),SymmetryAxis(C))",62 62 62 62 62 62 62 62 62 62 62 62 62 62 62,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
2050,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,y=pm*(1/2)*x,y=pm*(b/a)*x,y=pm*(b/a)*x,Expression(Asymptote(C)),"C: Hyperbola;a: Number;b: Number;F: Point;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);LeftFocus(C) = F;Distance(F, OneOf(Asymptote(C))) = a/2",21,21
2090,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,sqrt(3),Slope not found,Slope not found,Slope(l),"l: Line;C: Parabola;A: Point;F: Point;B: Point;Expression(C) = (y^2 = 4*x);Focus(C)=F;PointOnCurve(F,l);Intersection(l,C)={A,B};Quadrant(A)=1;Quadrant(B)=4;Abs(LineSegmentOf(A,F))=3*Abs(LineSegmentOf(F,B))",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2190,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,1/2,"Expression '(Abs(LineSegmentOf(A, F))*Abs(LineSegmentOf(B, F)))/Abs(LineSegmentOf(A, B))' not found","Expression '(Abs(LineSegmentOf(A, F))*Abs(LineSegmentOf(B, F)))/Abs(LineSegmentOf(A, B))' not found","(Abs(LineSegmentOf(A, F))*Abs(LineSegmentOf(B, F)))/Abs(LineSegmentOf(A, B))","G: Parabola;H: Line;A: Point;F: Point;B: Point;Expression(G) = (y^2 = -2*x);Focus(G) = F;Slope(H) = sqrt(3);PointOnCurve(F, H);Intersection(H, G) = {A, B}",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2204,Ellipse,Ellipse,Range,Range,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,0,0,0,0,15,15,False,15,,,True,"(pi/2, 3*pi/4)",Range(alpha) not found,Range(alpha) not found,Range(alpha),"G: Ellipse;alpha: Number;alpha>=0;alpha<2*pi;Expression(G) = (x^2*Sin(alpha) - y^2*Cos(alpha) = 1);PointOnCurve(Focus(G),yAxis)",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2207,Parabola,Parabola,Value,Value,False,True,True,success->success,False,True,wrong->correct,answer_mismatch,none,none,none,15,15,0,29,29,29,29,15,15,False,15,,,True,13,"Abs(LineSegmentOf(P,F))",13,"Abs(LineSegmentOf(P,F))","G: Parabola;P: Point;F: Point;Expression(G) = (y^2 = 16*x);PointOnCurve(P, G);Distance(P, xAxis) = 12;Focus(G)=F;Distance(P,F)=Abs(LineSegmentOf(P,F))",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2223,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,sqrt(13)/3,,,Eccentricity(G),G: Hyperbola;Expression(Asymptote(G)) = (y = pm*(3/2)*x),,
2225,Parabola,Parabola,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,"{y^2=-8*x, x^2=-y}",,,Expression(G),"G: Parabola;P: Point;Coordinate(P) = (-2, -4);PointOnCurve(P, G)",,
2231,Parabola,Parabola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,29,29,15,15,False,15,,,True,y^2=8*x,y^2=2*p*x,y^2=2*p*x,Expression(G),"G: Parabola;p: Number;M: Point;p>0;Expression(G) = (y^2 = 2*(p*x));PointOnCurve(M, G);XCoordinate(M)=3;Distance(M,Focus(G))=5",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2252,Parabola,Parabola,Value,Value,False,False,True,failure->success,False,True,wrong->correct,max_steps,none,max_steps,none,15,15,0,29,29,62,62,15,15,False,15,,,False,2,Slope not found,2,"Slope(OverlappingLine(LineSegmentOf(A, B)))","G: Parabola;Expression(G) = (y^2 = 4*x);A: Point;B: Point;IsChordOf(LineSegmentOf(A, B), G) = True;P: Point;Coordinate(P) = (1, 1);MidPoint(LineSegmentOf(A, B)) = P",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
2296,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,sqrt(5)/2,sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(G),"G: Hyperbola;b: Number;a: Number;H: Line;F2: Point;A: Point;B: Point;F1: Point;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);LeftFocus(G) = F1;RightFocus(G) = F2;PointOnCurve(F1, H);Slope(H) = 1/3;Intersection(H, l1)=A;Abs(LineSegmentOf(F2, A)) = Abs(LineSegmentOf(F2, B));l1:Line;l2:Line;Intersection(H, l2)=B;Asymptote(G)={l1,l2}",21,21
2320,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,y=pm*sqrt(3)*x,y=pm*(sqrt(3)/a)*x,y=pm*(sqrt(3)/a)*x,Expression(Asymptote(G)),G: Hyperbola;a: Number;H: Parabola;a>0;Expression(G) = (-y^2/3 + x^2/a^2 = 1);Expression(H) = (y^2 = 8*x);Focus(H) = RightFocus(G),21,21
2321,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,29,29,15,15,False,15,,,True,8,sqrt((x1-x2)^2+(y1-y2)^2),sqrt((x1-x2)^2+(y1-y2)^2),"Abs(LineSegmentOf(A, B))","G: Parabola;H: Line;A: Point;B: Point;x1:Number;y1:Number;x2:Number;y2:Number;Expression(G) = (y^2 = 4*x);Coordinate(A) = (x1, y1);Coordinate(B) = (x2, y2);Focus(G)=F;PointOnCurve(F,H);Intersection(H,G) = {B, A};x1+x2=6;F:Point",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
2322,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,sqrt(5)/2,sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(G),"G: Hyperbola;b: Number;a: Number;H: Line;m: Number;P: Point;A: Point;B: Point;a>0;b>0;Negation(m=0);l1:Line;l2:Line;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Expression(H) = (m + x - 3*y = 0);Coordinate(P) = (m, 0);Asymptote(G)={l1,l2};Intersection(H,l1)=A;Intersection(H,l2)=B;Abs(LineSegmentOf(P, A)) = Abs(LineSegmentOf(P, B))",21,21
2418,Ellipse,Ellipse,Eccentricity,Eccentricity,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,0,0,0,0,15,15,False,15,,,True,3/5,Eccentricity not found,Eccentricity not found,Eccentricity(G),"G: Ellipse;F1: Point;Coordinate(F1) = (-3, 0);OneOf(Focus(G)) = F1;Length(MajorAxis(G)) = 10;O: Origin;Center(G) = O",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2449,Parabola,Parabola,Area,Area,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,42,42,43,43,15,15,False,15,,,True,2,Area not found,Area not found,"Area(TriangleOf(M, F, N))","l: Line;C: Parabola;p: Number;A: Point;F: Point;M: Point;B: Point;N: Point;p>0;Expression(C) = (y^2 = 2*(p*x));Focus(C)=F;PointOnCurve(F,l);Intersection(l,C) = {B, A};Projection(A,Directrix(C))=M;Projection(B,Directrix(C))=N;InterReciprocal(Area(TriangleOf(A,F,M)),Area(TriangleOf(B,F,N)))",42 42 42 43 43 43 43 43 43 43 43 43 43 43 43,42 42 42 43 43 43 43 43 43 43 43 43 43 43 43
2629,Ellipse,Ellipse,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,0,0,13,13,15,15,False,15,,,True,"(-5, 0)",Coordinate(LeftVertex(G)) not found,Coordinate(LeftVertex(G)) not found,Coordinate(LeftVertex(G)),G: Ellipse;b: Number;a: Number;H: Circle;a > b;b > 0;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);Expression(H) = (-6*x + x^2 + y^2 + 8 = 0);Center(H) = OneOf(Focus(G));Length(MinorAxis(G)) = 8,0 13 13 13 13 13 13 13 13 13 13 13 13 13 13,0 13 13 13 13 13 13 13 13 13 13 13 13 13 13
2636,Ellipse,Ellipse,Range,Range,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,0,0,0,0,15,15,False,15,,,True,"(pi/4,pi/2)",Range(alpha) not found,Range(alpha) not found,Range(alpha),"G: Ellipse;alpha:Number;0<alpha;alpha<pi/2;Expression(G) = (x^2*Sin(alpha) + y^2*Cos(alpha) = 1);PointOnCurve(Focus(G), yAxis)",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2710,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,True,True,correct->correct,none,none,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,sqrt(10),sqrt(10),sqrt(10),Eccentricity(G),G: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Expression(OneOf(Asymptote(G))) = (3*x + y = 0),21,21
2811,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,True,True,correct->correct,none,none,none,none,15,15,0,65,65,65,65,15,15,False,15,,,True,-9,-9,-9,m,G: Hyperbola;m: Number;Expression(G) = (x^2/16 + y^2/m = 1);Eccentricity(G) = 5/4,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
2840,Hyperbola,Hyperbola,Coordinate,Coordinate,False,True,True,success->success,True,True,correct->correct,none,none,none,none,15,15,0,21,21,13,13,15,15,False,15,,,False,"(pm*5,0)","(pm*5, 0)","(pm*5, 0)",Coordinate(Focus(G)),G: Hyperbola;Expression(G) = (x^2/9 - y^2/16 = 1),21 21 21 21 21 21 21 21 21 13 13 13 13 13 13,21 21 21 21 21 21 21 21 21 13 13 13 13 13 13
2841,Hyperbola,Hyperbola,Range,Range,False,True,True,success->success,True,True,correct->correct,none,none,none,none,15,15,0,65,65,65,65,15,15,False,15,,,True,"(-oo, -4)+(1, +oo)","(-oo, -4)+(1, +oo)","(-oo, -4)+(1, +oo)",Range(k),G: Hyperbola;H: Curve;k: Number;Expression(H) = (x^2/(k + 4) + y^2/(1 - k) = 1);H = G,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
2872,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,62,62,15,15,False,15,,,False,2,p,p,p,"C: Parabola;p: Number;M: Point;N: Point;H:LineSegment;p>0;Expression(C) = (y^2 = 2*p*x);Coordinate(P) = (1, 1);IsChordOf(H,C);Intersection(H, C) = {M, N};Abs(LineSegmentOf(M, N)) = sqrt(15);MidPoint(H)=P;P:Point",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
2966,Parabola,Parabola,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,x=-9,,,Expression(Directrix(G)),G: Parabola;Expression(G) = (x = y^2/36),,
2997,Hyperbola,Hyperbola,Length,Length,False,True,True,success->success,True,True,correct->correct,none,none,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,6,6,6,Length(ImageinaryAxis(G)),G: Hyperbola;Expression(G) = (x^2/16 - y^2/9 = 1),21,21
3019,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,29,29,15,15,False,15,,,True,2,p,p,p,"G: Parabola;Expression(G) = (y^2 = 2*(p*x));p: Number;p>0;F: Point;Focus(G) = F;H: Line;PointOnCurve(F, H);Intersection(H, G) = {A, B};A: Point;B: Point;Abs(LineSegmentOf(F, A))*Abs(LineSegmentOf(F, B)) = 6;Abs(LineSegmentOf(A, B)) = 6",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
3022,Ellipse,Ellipse,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,sqrt(6)/3,sqrt(1-b^2/a^2),sqrt(1-b^2/a^2),Eccentricity(C),"l: Line;C: Ellipse;b: Number;a: Number;A: Point;B: Point;a > b;b > 0;Expression(C) = (y^2/b^2 + x^2/a^2 = 1);Slope(l) = -1/3;Intersection(l, C) = {A, B};Coordinate(MidPoint(LineSegmentOf(A,B))) = (1, 1)",13,13
3046,Hyperbola,Hyperbola,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,1,1,13,13,15,15,False,15,,,False,16/3,XCoordinate not found,XCoordinate not found,XCoordinate(P),"G: Hyperbola;F: Point;P: Point;O: Origin;H:Circle;Expression(G) = (x^2/4 - y^2/5 = 1);LeftFocus(G)=F;PointOnCurve(P,RightPart(G));Radius(H)=Abs(LineSegmentOf(O,F));PointOnCurve(MidPoint(LineSegmentOf(F,P)),H)",1 1 1 1 1 1 1 1 13 13 13 13 13 13 13,1 1 1 1 1 1 1 1 13 13 13 13 13 13 13
3091,Other,Other,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,62,62,62,62,15,15,False,15,,,True,y^2=16*x,Expression(G) = (x + 5 = 0),Expression(G) = (x + 5 = 0),LocusEquation(P),"G: Line;F: Point;P: Point;Expression(G) = (x + 5 = 0);Coordinate(F) = (4, 0);Distance(P, F) = Distance(P, G) - 1",62 62 62 62 62 62 62 62 62 62 62 62 62 62 62,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
3159,Circle,Circle,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,54,54,62,62,15,15,False,15,,,True,x-y-3=0,Equation(LineOf) not found,Equation(LineOf) not found,"Expression(LineOf(A, B))","G: Circle;Expression(G) = (y^2 + (x - 1)^2 = 25);P: Point;Coordinate(P) = (2, -1);A: Point;B: Point;IsChordOf(LineSegmentOf(A, B), G);MidPoint(LineSegmentOf(A, B)) = P",54 54 62 62 62 62 62 62 62 62 62 62 62 62 62,54 54 62 62 62 62 62 62 62 62 62 62 62 62 62
3167,Ellipse,Ellipse,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,0,0,0,0,15,15,False,15,,,True,sqrt(5)/3,e1: Number,e1: Number,e1,"P: Point;F1: Point;F2: Point;C1: Ellipse;C2: Hyperbola;Focus(C1) = {F1, F2};Focus(C2) = {F1, F2};OneOf(Intersection(C1, C2)) = P;IsPerpendicular(LineSegmentOf(P, F1), LineSegmentOf(P, F2)) = True;e1: Number;e2: Number;Eccentricity(C1) = e1;Eccentricity(C2) = e2;e2 = 3*e1",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3171,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,"(1, 2]",Range(Eccentricity(C)) not found,Range(Eccentricity(C)) not found,Range(Eccentricity(C)),"C: Hyperbola;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;F1: Point;F2: Point;LeftFocus(C) = F1;RightFocus(C) = F2;P: Point;PointOnCurve(P, RightPart(C));Abs(LineSegmentOf(P, F1))*Abs(LineSegmentOf(P, F2)) = 3*a^2",1,1
3172,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,"{sqrt(5)/2, sqrt(5)}",,,Eccentricity(C),C: Hyperbola;Expression(OneOf(Asymptote(C))) = (x + 2*y = 0),,
3185,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,3,"Abs(LineSegmentOf(Q, F)) not found","Abs(LineSegmentOf(Q, F)) not found","Abs(LineSegmentOf(Q, F))","C: Parabola;P: Point;F: Point;Q: Point;l:Line;Expression(C) = (y^2 = 8*x);Focus(C) = F;Directrix(C) = l;PointOnCurve(P, l);OneOf(Intersection(LineOf(P,F),C))=Q;VectorOf(P, F) = 4*VectorOf(Q, F)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
3212,Ellipse,Ellipse,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,1/2,sqrt(1-b^2/a^2),sqrt(1-b^2/a^2),Eccentricity(G),"G: Ellipse;b: Number;a: Number;A: Point;B: Point;F: Point;a > b;b > 0;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);Coordinate(A)=(-a,0);Coordinate(B) = (0, b);LeftFocus(G)=F;In(A,Vertex(G));Distance(F, LineSegmentOf(A, B)) = b/sqrt(7);In(B,Vertex(G))",13,13
3302,Ellipse,Ellipse,Area,Area,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,56,56,13,13,15,15,False,15,,,False,2*sqrt(2),Area not found,Area not found,"Area(TriangleOf(P, F1, F2))","H: Ellipse;Expression(H) = (y^2/4 + x^2/a^2 = 1);F1: Point;F2: Point;Focus(H) = {F1, F2};a: Number;a>0;P: Point;PointOnCurve(P, H);G: Parabola;Expression(G) = (y^2 = x);PointOnCurve(P, G);F3: Point;Focus(G) = F3;Abs(LineSegmentOf(P, F3)) = 9/4",56 56 56 56 56 56 56 56 13 13 13 13 13 13 13,56 56 56 56 56 56 56 56 13 13 13 13 13 13 13
3332,Parabola,Parabola,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,62,62,15,15,False,15,,,False,"(-4, 2)",Coordinate(P) not found,Coordinate(P) not found,Coordinate(P),"C: Parabola;M: Point;P: Point;F: Point;Expression(C) = (x^2 = 8*y);Coordinate(M) = (-4, 3);Focus(C) = F;PointOnCurve(P, C);WhenMin(Perimeter(TriangleOf(P, M, F)))",2 29 29 29 29 29 29 62 62 62 62 62 62 62 62,2 29 29 29 29 29 29 62 62 62 62 62 62 62 62
3348,Ellipse,Ellipse,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,0,0,56,56,15,15,False,15,,,False,8,Expression 'n/m' not found,Expression 'n/m' not found,n/m,"M: Ellipse;m: Number;C: Circle;n: Number;Expression(M) = (m*y^2 + x^2 = 1);Expression(C) = (x^2 + (y + 1)^2 = n);F1: Point;F2: Point;OneOf(Focus(C))=F1;OneOf(Focus(C))=F2;Negation(F1=F2);Center(C) = F1;PointOnCurve(F2, C)",0 0 0 0 0 0 0 56 56 56 56 56 56 56 56,0 0 0 0 0 0 0 56 56 56 56 56 56 56 56
3501,Ellipse,Ellipse,Equation,Equation,False,True,True,success->success,True,True,correct->correct,none,none,none,none,1,1,0,63,63,63,63,1,1,False,1,,,False,x^2/15+y^2/10=1,x^2/15+y^2/10=1,x^2/15+y^2/10=1,Expression(G1),"G: Ellipse;Expression(G) = (4*x^2 + 9*y^2 = 36);G1: Ellipse;Focus(G) = Focus(G1);H: Point;Coordinate(H) = (-3, 2);PointOnCurve(H, G1) = True",63,63
